X.timestamp,beat.hostname,enrichment.branch.name,system.diskio.write.ytes,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_total,system_memory_used_bytes,system_memory_used_pct,system.cpu.idle.pct,system.cpu.system.pct,system.cpu.total.pct,system.cpu.user.pct
"December 18th 2018, 13:04:11.368",1,1,0,13.326,2.565,16.14,13.326,14.312,16.891,2.579,15.27,15.891,2.565,16.14,3.9343,0.0375,0.0657,0.0282
"December 18th 2018, 13:03:33.760",2,1,5.5,12.098,3.793,23.87,12.098,12.937,16.891,3.954,23.41,15.891,3.793,23.87,3.9163,0.0707,0.0837,0.0130
"December 18th 2018, 13:04:22.336",3,1,0,13.304,2.587,16.28,13.304,14.349,16.891,2.542,15.05,15.891,2.587,16.28,3.9390,0.0419,0.0610,0.0191
"December 18th 2018, 13:01:40.946",4,1,7.846,12.821,3.07,19.32,12.821,15.689,18.766,3.077,16.4,15.891,3.07,19.32,3.9623,0.0282,0.0377,0.0095
"December 18th 2018, 13:03:18.566",5,1,0,12.052,3.839,24.16,12.052,12.767,16.891,4.124,24.42,15.891,3.839,24.16,3.9129,0.0710,0.0871,0.0161
"December 18th 2018, 13:04:53.205",6,1,0,13.525,2.366,14.89,13.525,14.552,16.891,2.339,13.85,15.891,2.366,14.89,3.9308,0.0573,0.0692,0.0119
"December 18th 2018, 13:04:05.356",7,1,0,13.191,2.7,16.99,13.191,14.305,16.891,2.586,15.31,15.891,2.7,16.99,3.9263,0.0634,0.0737,0.0103
"December 18th 2018, 13:03:55.742",8,1,0,13.42,2.471,15.55,13.42,14.462,16.891,2.43,14.38,15.891,2.471,15.55,3.9712,0.0228,0.0288,0.0060
"December 18th 2018, 13:02:47.244",12,2,0,12.757,3.134,19.72,12.757,13.673,16.891,3.218,19.05,15.891,3.134,19.72,3.9478,0.0417,0.0522,0.0106
"December 18th 2018, 13:01:51.238",14,2,0,13.314,2.578,16.22,13.314,14.336,16.891,2.555,15.13,15.891,2.578,16.22,3.9801,0.0158,0.0199,0.0042
"December 18th 2018, 13:02:14.943",20,2,4,13.443,2.448,15.4,13.443,14.497,16.891,2.394,14.17,15.891,2.448,15.4,3.9035,0.0798,0.0965,0.0166
"December 18th 2018, 13:02:48.988",21,2,0,13.246,2.645,16.64,13.246,14.366,16.891,2.525,14.95,15.891,2.645,16.64,3.9409,0.0311,0.0591,0.0280
"December 18th 2018, 13:01:34.150",22,2,0,13.214,2.677,16.84,13.214,14.299,16.891,2.592,15.35,15.891,2.677,16.84,3.9561,0.0306,0.0439,0.0133
"December 18th 2018, 13:01:38.333",23,2,0,13.353,2.538,15.97,13.353,14.414,16.891,2.477,14.66,15.891,2.538,15.97,3.9310,0.0581,0.0690,0.0109
"December 18th 2018, 13:04:06.250",24,2,0,13.278,2.613,16.45,13.278,14.337,16.891,2.554,15.12,15.891,2.613,16.45,3.9635,0.0227,0.0365,0.0138
"December 18th 2018, 13:04:28.522",25,3,0,12.999,2.892,18.2,12.999,15.76,18.766,3.006,16.02,15.891,2.892,18.2,3.9624,0.0295,0.0376,0.0081
"December 18th 2018, 13:02:56.135",26,3,0,12.663,3.228,20.31,12.663,13.658,16.891,3.233,19.14,15.891,3.228,20.31,3.4217,0.4535,0.5783,0.1248
"December 18th 2018, 13:02:58.404",27,3,16,13.266,2.625,16.52,13.266,14.325,16.891,2.566,15.19,15.891,2.625,16.52,3.9465,0.0453,0.0535,0.0083
"December 18th 2018, 13:01:25.631",28,3,0,12.314,3.577,22.51,12.314,12.977,16.891,3.914,23.17,15.891,3.577,22.51,3.9294,0.0567,0.0706,0.0140
"December 18th 2018, 13:02:55.613",29,3,0,12.833,3.058,19.25,12.833,13.879,16.891,3.012,17.83,15.891,3.058,19.25,3.4538,0.4340,0.5462,0.1123
