X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
131505.092,126,15,3.9515,0,0,0,0,0,0.042,0.0485,0.0065
131508.057,85,10,3.9775,0,0,0,0,0,0.0181,0.0225,0.0044
131510.125,49,6,3.9738,0,0,0,0,0,0.0201,0.0262,0.0062
131512.19,44,5,3.5975,0,0,0,0,0,0.3068,0.4025,0.0957
131512.576,132,16,3.9534,0,0,0,0,0,0.0354,0.0466,0.0112
131513.22,108,13,3.9728,0,0,0,0,0,0.0205,0.0272,0.0068
131515.873,149,19,3.9584,0,0,0,0,0,0.0357,0.0416,0.0059
131518.045,135,16,3.9526,0,0,0,0,0,0.0427,0.0474,0.0048
131521.031,37,4,3.9374,0,0,0,0,0,0.0506,0.0626,0.012
131521.705,179,23,3.9373,0,0,0,0,0,0.0525,0.0627,0.0102
131521.96,41,5,3.9002,0,0,0,0,0,0.0699,0.0998,0.0299
131523.361,125,15,3.9493,0,0,0,0,0,0.0438,0.0507,0.0069
131524.635,36,4,3.9326,0,0,0,0,0,0.0588,0.0674,0.0086
131529.301,74,8,3.9527,0,0,0,0,0,0.0379,0.0473,0.0094
131530.346,38,4,3.9192,0,0,0,0,0,0.0554,0.0808,0.0255
131530.581,107,13,3.9561,0,0,0,0,0,0.0396,0.0439,0.0043
131534.374,68,7,3.9578,0,0,0,0,0,0.0334,0.0422,0.0088
131537.195,101,12,3.9713,0,0,0,0,0,0.0246,0.0287,0.0041
131540.602,180,23,3.8728,0,0,0,0,0,0.1043,0.1272,0.0229
131546.916,82,9,3.9546,0,0,0,0,0,0.0358,0.0454,0.0096
131548.166,143,18,3.9766,0,0,0,0,0,0.0183,0.0234,0.0051
131548.565,46,5,3.9004,0,0,0,0,0,0.0813,0.0996,0.0183
131550.756,30,3,3.5234,0,0,0,0,0,0.3896,0.4766,0.0869
131551.375,35,4,3.9549,0,0,0,0,0,0.0394,0.0451,0.0057
131552.794,118,14,3.9474,0,0,0,0,0,0.0321,0.0526,0.0205
131553.965,45,5,3.6772,0,0,0,0,0,0.2171,0.3228,0.1057
