,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,HBOS
46,131404.995,168,22,13.024000000000001,2.867,18.04,13.024000000000001,14.036,2.855,16.9,2.867,5.919823841188023
47,131048.565,46,5,12.623,3.2680000000000002,20.57,12.623,13.704,3.187,18.87,3.2680000000000002,5.908069753834995
48,131320.908,176,23,12.759,3.1319999999999997,19.71,12.759,13.792,3.0989999999999998,18.34,3.1319999999999997,5.908069753834995
49,131159.573,160,20,12.755999999999998,3.135,19.73,12.755999999999998,13.812999999999999,3.0780000000000003,18.23,3.135,5.908069753834995
50,131241.62900000002,26,3,12.706,3.185,20.04,12.706,13.71,3.181,18.83,3.185,5.908069753834995
51,131328.217,130,16,12.700999999999999,3.19,20.07,12.700999999999999,13.692,3.199,18.94,3.19,5.908069753834995
52,131458.274,109,13,12.694,3.197,20.12,12.694,13.706,3.185,18.85,3.197,5.908069753834995
53,131153.245,79,9,12.739,3.1519999999999997,19.83,12.739,13.679,3.2119999999999997,19.02,3.1519999999999997,5.908069753834995
54,131052.81,118,14,13.001,2.89,18.18,13.001,15.907,2.859,15.23,2.89,5.881370750212547
55,131214.355,32,4,13.669,2.222,13.98,13.669,14.663,2.228,13.19,2.222,5.865189128276329
56,131021.04400000001,37,4,13.674000000000001,2.217,13.95,13.674000000000001,14.75,2.141,12.68,2.217,5.865189128276329
57,131324.771,69,7,13.562000000000001,2.329,14.66,13.562000000000001,14.600999999999999,2.29,13.56,2.329,5.865189128276329
58,131203.19400000002,187,21,13.556,2.335,14.69,13.556,14.592,2.299,13.61,2.335,5.865189128276329
59,131132.16,189,21,13.567,2.324,14.63,13.567,14.609000000000002,2.282,13.51,2.324,5.865189128276329
60,131310.725,145,18,13.04,2.8510000000000004,17.94,13.04,15.958,2.8080000000000003,14.96,2.8510000000000004,5.820672909858933
61,131331.228,34,4,13.168,2.7230000000000003,17.14,13.168,14.104000000000001,2.787,16.5,2.7230000000000003,5.743732582132344
62,131427.87900000002,182,23,13.118,2.773,17.45,13.118,14.173,2.718,16.09,2.773,5.5823645798973685
63,131008.05900000001,85,10,13.104000000000001,2.7880000000000003,17.54,13.104000000000001,14.129000000000001,2.762,16.35,2.7880000000000003,5.5823645798973685
64,131126.095,119,14,13.065,2.826,17.79,13.065,14.161,2.73,16.16,2.826,5.5823645798973685
65,131227.546,51,6,13.062999999999999,2.8280000000000003,17.8,13.062999999999999,14.14,2.7510000000000003,16.29,2.8280000000000003,5.5823645798973685
66,131155.156,134,16,13.020999999999999,2.87,18.06,13.020999999999999,16.034000000000002,2.7319999999999998,14.56,2.87,5.497366519483804
67,131405.65300000002,83,9,13.040999999999999,2.85,17.93,13.040999999999999,14.198,2.693,15.94,2.85,5.373533805734778
68,131125.745,139,17,13.15,2.741,17.25,13.15,14.257,2.634,15.59,2.741,5.101100610248967
69,131351.235,33,4,13.593,2.298,14.46,13.593,16.427,2.339,12.46,2.298,5.0326398570568145
70,131220.716,154,19,13.235,2.656,16.71,13.235,16.224,2.542,13.55,2.656,5.017016159683489
71,131342.547,110,13,13.550999999999998,2.34,14.73,13.550999999999998,16.453,2.313,12.32,2.34,4.8397773567621485
72,131213.548,144,18,13.232999999999999,2.658,16.73,13.232999999999999,16.098,2.668,14.22,2.658,4.633623259185692
73,131401.033,7,1,13.173,2.718,17.1,13.173,14.284,2.6069999999999998,15.44,2.718,4.332494677771555
74,131338.185,181,23,13.18,2.7110000000000003,17.06,13.18,14.222999999999999,2.668,15.8,2.7110000000000003,4.311422891669833
75,131315.742,156,20,13.234000000000002,2.657,16.72,13.234000000000002,14.238,2.653,15.71,2.657,4.311422891669833
76,131015.87400000001,149,19,13.274000000000001,2.617,16.47,13.274000000000001,14.302999999999999,2.588,15.32,2.617,4.071090736359465
77,131127.98,22,2,13.203,2.688,16.91,13.203,14.292,2.5989999999999998,15.39,2.688,4.071090736359465
78,131253.369,27,3,13.259,2.6319999999999997,16.56,13.259,14.322000000000001,2.569,15.21,2.6319999999999997,4.071090736359465
79,131451.103,72,8,13.283,2.608,16.41,13.283,14.261,2.63,15.57,2.608,4.071090736359465
80,131421.351,52,6,13.538,2.353,14.81,13.538,14.578,2.313,13.69,2.353,4.04782545963364
81,131030.351,38,4,13.520999999999999,2.37,14.91,13.520999999999999,14.584000000000001,2.307,13.66,2.37,4.04782545963364
82,131402.03,184,21,13.625,2.266,14.26,13.625,14.571,2.32,13.73,2.266,3.875545183593716
83,131402.25400000002,24,2,13.252,2.639,16.61,13.252,14.325,2.5660000000000003,15.19,2.639,3.4070278910189953
84,131241.364,21,2,13.235,2.656,16.72,13.235,14.325999999999999,2.565,15.19,2.656,3.4070278910189953
85,131024.638,36,4,13.253,2.638,16.6,13.253,14.376,2.515,14.89,2.638,3.346330050665381
86,131046.93,82,9,13.498,2.3930000000000002,15.06,13.498,16.41,2.356,12.55,2.3930000000000002,3.323026949979856
87,131210.006,151,19,13.56,2.331,14.67,13.56,14.509,2.3819999999999997,14.1,2.331,3.3223816344089014
88,131137.30800000002,95,11,13.513,2.379,14.97,13.513,16.423,2.343,12.49,2.379,3.215276188414124
89,131154.277,188,7,13.583,2.309,14.53,13.583,14.544,2.347,13.89,2.309,3.1920478659139047
90,131345.521,183,11,13.571,2.32,14.6,13.571,14.540999999999999,2.35,13.92,2.32,3.1920478659139047
91,131441.165,124,15,13.552,2.339,14.72,13.552,14.517000000000001,2.374,14.05,2.339,3.192047865913897
92,131110.104,131,16,13.290999999999999,2.6,16.36,13.290999999999999,14.296,2.595,15.36,2.6,2.985752746204218
93,131258.021,128,16,13.345,2.546,16.02,13.345,16.215999999999998,2.55,13.59,2.546,2.530804156450146
94,131113.932,100,12,13.549000000000001,2.342,14.74,13.549000000000001,14.495999999999999,2.395,14.18,2.342,2.446021816434424
95,131343.28699999998,55,6,13.529000000000002,2.362,14.86,13.529000000000002,14.562000000000001,2.329,13.79,2.362,2.058181514951026
96,131438.704,6,1,13.530999999999999,2.36,14.85,13.530999999999999,14.565,2.326,13.77,2.36,2.058181514951026
97,131106.12,153,19,13.543,2.3480000000000003,14.77,13.543,14.568,2.323,13.76,2.3480000000000003,2.058181514951026
98,131138.188,40,4,13.515999999999998,2.375,14.95,13.515999999999998,14.557,2.334,13.82,2.375,2.058181514951026
99,131313.12699999998,169,22,13.32,2.572,16.18,13.32,14.292,2.5989999999999998,15.38,2.572,1.9553301375486325
100,131407.41199999998,1,1,13.337,2.5540000000000003,16.07,13.337,14.321,2.57,15.21,2.5540000000000003,1.9553301375486325
101,131313.421,97,11,13.304,2.5869999999999997,16.28,13.304,14.425999999999998,2.465,14.6,2.5869999999999997,1.859926011222204
102,131204.094,170,22,13.343,2.548,16.03,13.343,14.322000000000001,2.569,15.21,2.548,1.6068695017291146
103,131351.83800000002,150,19,13.527000000000001,2.364,14.88,13.527000000000001,14.488,2.403,14.23,2.364,1.505017965766212
104,131356.174,90,11,13.504000000000001,2.387,15.02,13.504000000000001,14.472999999999999,2.418,14.31,2.387,1.505017965766212
105,131030.48,107,13,13.456,2.435,15.33,13.456,14.405,2.4859999999999998,14.72,2.435,1.5049923110530996
106,131434.086,175,22,13.488,2.403,15.12,13.488,14.552999999999999,2.338,13.84,2.403,1.4824349588369472
107,131423.119,47,5,13.505999999999998,2.385,15.01,13.505999999999998,14.549000000000001,2.342,13.87,2.385,1.3746841972712152
108,131332.81699999998,104,12,13.398,2.4930000000000003,15.69,13.398,14.475,2.416,14.3,2.4930000000000003,1.3538140179942548
109,131143.544,146,18,13.417,2.474,15.57,13.417,14.504000000000001,2.387,14.13,2.474,1.3538140179942548
110,131321.133,89,10,13.385,2.5069999999999997,15.77,13.385,14.474,2.417,14.31,2.5069999999999997,1.3538140179942548
111,131012.587,132,16,13.390999999999998,2.5,15.73,13.390999999999998,14.479000000000001,2.412,14.28,2.5,1.3538140179942548
112,131138.987,14,2,13.31,2.5810000000000004,16.24,13.31,14.33,2.5610000000000004,15.16,2.5810000000000004,1.2912672922081636
113,131237.089,53,6,13.45,2.441,15.36,13.45,14.525,2.366,14.0,2.441,1.2825123193460914
114,131023.366,125,15,13.46,2.431,15.3,13.46,14.533,2.358,13.96,2.431,1.2825123193460914
115,131208.041,20,2,13.453,2.438,15.34,13.453,14.523,2.3680000000000003,14.02,2.438,1.2825123193460914
116,131124.418,147,18,13.452,2.439,15.35,13.452,14.536,2.355,13.94,2.439,1.2825123193460914
