,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
58,132202,159,20,12.622,3.2689999999999997,20.57,12.622,13.704,3.187,18.87,3.2689999999999997,20.57,3.92,0,0,0,0,0,0.06,0.08,0.02,8.817836284122953
59,132221,154,19,13.222000000000001,2.6689999999999996,16.8,13.222000000000001,16.209,2.557,13.63,2.6689999999999996,16.8,3.95,0,0,0,0,0,0.03,0.05,0.02,8.52285963910574
60,132444,102,12,13.352,2.539,15.98,13.352,14.429,2.4619999999999997,14.57,2.539,15.98,3.32,0,0,0,0,0,0.52,0.68,0.15,8.44607401527629
61,132128,4,1,12.872,3.0189999999999997,19.0,12.872,15.745999999999999,3.02,16.09,3.0189999999999997,19.0,3.94,0,0,0,0,0,0.04,0.06,0.01,8.148840924806178
62,132321,176,23,12.747,3.145,19.79,12.747,13.779000000000002,3.112,18.42,3.145,19.79,3.94,0,0,0,0,0,0.05,0.06,0.01,8.074991617710218
63,132334,120,14,12.912,2.9789999999999996,18.74,12.912,13.972000000000001,2.9189999999999996,17.28,2.9789999999999996,18.74,3.92,0,0,0,0,0,0.06,0.08,0.01,8.033757619251793
64,132401,7,1,13.175,2.716,17.09,13.175,14.279000000000002,2.613,15.47,2.716,17.09,3.94,0,0,0,0,0,0.04,0.06,0.01,7.94660870435207
65,132252,50,6,13.362,2.529,15.91,13.362,14.354000000000001,2.537,15.02,2.529,15.91,3.83,0,0,0,0,0,0.13,0.17,0.04,7.846561212962239
66,132154,188,7,13.585,2.306,14.51,13.585,14.540999999999999,2.35,13.91,2.306,14.51,3.98,0,0,0,0,0,0.02,0.02,0.01,7.612907339591737
67,132331,34,4,13.151,2.74,17.24,13.151,14.085,2.806,16.61,2.74,17.24,3.96,0,0,0,0,0,0.03,0.04,0.01,7.566356824536786
68,132312,70,7,12.866,3.025,19.03,12.866,15.741,3.025,16.12,3.025,19.03,3.98,0,0,0,0,0,0.02,0.02,0.01,7.5475723587212045
69,132343,110,13,13.535,2.356,14.83,13.535,16.430999999999997,2.335,12.44,2.356,14.83,3.97,0,0,0,0,0,0.02,0.03,0.01,7.524779170473247
70,132402,184,21,13.607000000000001,2.2840000000000003,14.38,13.607000000000001,14.545,2.346,13.89,2.2840000000000003,14.38,3.97,0,0,0,0,0,0.02,0.03,0.01,7.521136966236091
71,132210,151,19,13.548,2.343,14.74,13.548,14.502,2.3890000000000002,14.14,2.343,14.74,3.97,0,0,0,0,0,0.02,0.03,0.01,7.521136966236091
72,132126,139,17,13.138,2.753,17.32,13.138,14.234000000000002,2.657,15.73,2.753,17.32,3.96,0,0,0,0,0,0.03,0.04,0.01,7.519061435196441
73,132221,91,11,12.921,2.97,18.69,12.921,15.815,2.951,15.72,2.97,18.69,3.95,0,0,0,0,0,0.03,0.05,0.02,7.512097498127802
74,132256,61,7,12.875,3.016,18.98,12.875,13.873,3.0180000000000002,17.87,3.016,18.98,3.96,0,0,0,0,0,0.04,0.04,0.01,7.399788335331967
75,132008,85,10,13.099,2.792,17.57,13.099,14.133,2.758,16.33,2.792,17.57,3.98,0,0,0,0,0,0.02,0.02,0.0,7.345340138267077
76,132311,145,18,13.055,2.8360000000000003,17.85,13.055,15.96,2.806,14.95,2.8360000000000003,17.85,3.97,0,0,0,0,0,0.02,0.03,0.01,7.330435758057452
77,132422,98,11,12.94,2.952,18.57,12.94,14.072000000000001,2.819,16.69,2.952,18.57,3.94,0,0,0,0,0,0.05,0.06,0.01,7.198348027608643
78,132114,100,12,13.552,2.339,14.72,13.552,14.492,2.399,14.2,2.339,14.72,3.96,0,0,0,0,0,0.03,0.04,0.01,7.1702432601968304
79,132247,12,2,12.784,3.1069999999999998,19.55,12.784,13.73,3.161,18.71,3.1069999999999998,19.55,3.96,0,0,0,0,0,0.03,0.04,0.01,7.146284852967498
80,132326,106,13,12.732999999999999,3.158,19.87,12.732999999999999,13.729000000000001,3.162,18.72,3.158,19.87,3.95,0,0,0,0,0,0.04,0.05,0.01,7.054617895371794
81,132126,77,8,12.597999999999999,3.293,20.72,12.597999999999999,13.671,3.22,19.06,3.293,20.72,3.96,0,0,0,0,0,0.03,0.04,0.01,7.034160450661905
82,132405,168,22,13.027000000000001,2.864,18.02,13.027000000000001,14.044,2.847,16.86,2.864,18.02,3.95,0,0,0,0,0,0.04,0.05,0.01,6.997219846629629
83,132451,103,12,12.577,3.3139999999999996,20.86,12.577,13.7,3.1910000000000003,18.89,3.3139999999999996,20.86,3.95,0,0,0,0,0,0.04,0.05,0.01,6.942493493066201
84,132458,109,13,12.672,3.219,20.26,12.672,13.686,3.205,18.97,3.219,20.26,3.95,0,0,0,0,0,0.04,0.05,0.01,6.942493493066201
85,132053,118,14,12.999,2.892,18.2,12.999,15.882,2.884,15.37,2.892,18.2,3.96,0,0,0,0,0,0.03,0.04,0.01,6.93965997340664
86,132056,93,11,12.864,3.0269999999999997,19.05,12.864,13.924000000000001,2.967,17.57,3.0269999999999997,19.05,3.97,0,0,0,0,0,0.02,0.03,0.01,6.874525625104624
87,132346,183,11,12.842,3.049,19.19,12.842,13.806,3.085,18.26,3.049,19.19,0.0,0,0,0,0,0,0.0,0.0,0.0,6.869293098170946
88,132411,25,3,12.970999999999998,2.92,18.37,12.970999999999998,15.743,3.023,16.11,2.92,18.37,3.97,0,0,0,0,0,0.02,0.03,0.01,6.845523357427414
89,132200,177,23,12.982000000000001,2.909,18.3,12.982000000000001,14.036,2.855,16.9,2.909,18.3,3.96,0,0,0,0,0,0.03,0.04,0.01,6.552374362889647
90,132127,190,21,12.919,2.972,18.7,12.919,13.997,2.8939999999999997,17.13,2.972,18.7,3.98,0,0,0,0,0,0.02,0.02,0.01,6.2707729190639725
91,132345,185,22,12.995,2.8960000000000004,18.22,12.995,13.992,2.8989999999999996,17.16,2.8960000000000004,18.22,3.97,0,0,0,0,0,0.02,0.03,0.01,6.179002545708327
92,132138,40,4,13.511,2.38,14.98,13.511,14.556,2.335,13.82,2.38,14.98,3.92,0,0,0,0,0,0.06,0.08,0.03,6.159501025866118
93,132214,144,18,13.242,2.6489999999999996,16.67,13.242,16.118,2.648,14.11,2.6489999999999996,16.67,3.98,0,0,0,0,0,0.02,0.02,0.01,6.081015188028629
94,132241,21,2,13.234000000000002,2.657,16.72,13.234000000000002,14.350999999999999,2.54,15.04,2.657,16.72,3.98,0,0,0,0,0,0.02,0.02,0.0,6.062258749852678
95,132239,113,13,13.42,2.472,15.55,13.42,14.466,2.425,14.36,2.472,15.55,3.86,0,0,0,0,0,0.11,0.14,0.03,6.036472859481624
96,132016,149,19,13.254000000000001,2.637,16.6,13.254000000000001,14.265999999999998,2.625,15.54,2.637,16.6,3.97,0,0,0,0,0,0.03,0.03,0.01,5.822504687869007
97,132434,175,22,13.529000000000002,2.362,14.87,13.529000000000002,14.584000000000001,2.307,13.66,2.362,14.87,3.97,0,0,0,0,0,0.03,0.03,0.01,5.693960257659009
98,132421,52,6,13.53,2.3609999999999998,14.86,13.53,14.58,2.311,13.68,2.3609999999999998,14.86,3.97,0,0,0,0,0,0.03,0.03,0.01,5.693960257659009
99,132407,1,1,13.345,2.546,16.02,13.345,14.327,2.5639999999999996,15.18,2.546,16.02,3.85,0,0,0,0,0,0.13,0.15,0.02,5.681037250956107
100,132047,82,9,13.511,2.38,14.98,13.511,16.434,2.332,12.43,2.38,14.98,3.95,0,0,0,0,0,0.04,0.05,0.01,5.0902049066863055
101,132409,3,1,13.317,2.574,16.2,13.317,14.359000000000002,2.532,14.99,2.574,16.2,3.94,0,0,0,0,0,0.03,0.06,0.02,4.91661887315867
102,132402,24,2,13.259,2.6319999999999997,16.56,13.259,14.311,2.58,15.27,2.6319999999999997,16.56,3.94,0,0,0,0,0,0.05,0.06,0.01,4.79647403597142
103,132451,72,8,13.287,2.6039999999999996,16.39,13.287,14.283,2.608,15.44,2.6039999999999996,16.39,3.95,0,0,0,0,0,0.05,0.05,0.01,4.5994791039540255
104,132313,169,22,13.314,2.577,16.22,13.314,14.296,2.595,15.36,2.577,16.22,3.96,0,0,0,0,0,0.02,0.04,0.01,4.293206052877692
105,132343,55,6,13.533,2.358,14.84,13.533,14.572000000000001,2.319,13.73,2.358,14.84,3.96,0,0,0,0,0,0.04,0.04,0.0,4.082442383037602
106,132439,6,1,13.534,2.3569999999999998,14.83,13.534,14.57,2.3209999999999997,13.74,2.3569999999999998,14.83,3.95,0,0,0,0,0,0.04,0.05,0.01,3.958590742070496
107,132110,131,16,13.312999999999999,2.5780000000000003,16.23,13.312999999999999,14.315999999999999,2.575,15.25,2.5780000000000003,16.23,3.98,0,0,0,0,0,0.02,0.02,0.0,3.797265461214407
108,132139,14,2,13.307,2.5839999999999996,16.26,13.307,14.341,2.55,15.1,2.5839999999999996,16.26,3.98,0,0,0,0,0,0.02,0.03,0.0,3.797265461214407
109,132450,88,10,13.302999999999999,2.588,16.29,13.302999999999999,14.423,2.468,14.61,2.588,16.29,3.96,0,0,0,0,0,0.03,0.04,0.01,3.772084580486982
110,132124,148,18,13.329,2.562,16.12,13.329,14.44,2.451,14.51,2.562,16.12,3.94,0,0,0,0,0,0.05,0.06,0.01,3.7277562764466756
111,132258,128,16,13.374,2.517,15.84,13.374,16.26,2.5069999999999997,13.36,2.517,15.84,3.98,0,0,0,0,0,0.02,0.02,0.01,3.6941753618061046
112,132244,111,13,13.328,2.563,16.13,13.328,14.415,2.476,14.66,2.563,16.13,3.95,0,0,0,0,0,0.04,0.05,0.01,3.680417622891278
113,132023,125,15,13.446,2.445,15.39,13.446,14.499,2.392,14.16,2.445,15.39,3.93,0,0,0,0,0,0.05,0.07,0.02,3.582818252334382
114,132124,147,18,13.453,2.438,15.34,13.453,14.56,2.331,13.8,2.438,15.34,3.95,0,0,0,0,0,0.04,0.05,0.01,3.537251629810133
115,132255,84,9,13.324000000000002,2.5669999999999997,16.15,13.324000000000002,14.437999999999999,2.4530000000000003,14.52,2.5669999999999997,16.15,3.95,0,0,0,0,0,0.03,0.05,0.02,3.4279955867721736
116,132423,47,5,13.512,2.379,14.97,13.512,14.534,2.3569999999999998,13.95,2.379,14.97,3.95,0,0,0,0,0,0.04,0.05,0.01,3.164759287401691
117,132123,157,20,13.375,2.516,15.83,13.375,14.342,2.549,15.09,2.516,15.83,3.93,0,0,0,0,0,0.06,0.07,0.01,2.979692837667129
118,132321,171,22,13.44,2.451,15.42,13.44,14.527999999999999,2.363,13.99,2.451,15.42,3.95,0,0,0,0,0,0.05,0.05,0.01,2.8796399221592965
119,132208,20,2,13.433,2.458,15.47,13.433,14.48,2.411,14.27,2.458,15.47,3.93,0,0,0,0,0,0.06,0.07,0.01,2.775132923353178
120,132352,150,19,13.517999999999999,2.373,14.93,13.517999999999999,14.487,2.404,14.23,2.373,14.93,3.95,0,0,0,0,0,0.03,0.05,0.02,2.76049159892107
121,132134,23,2,13.369000000000002,2.522,15.87,13.369000000000002,14.402999999999999,2.488,14.73,2.522,15.87,3.93,0,0,0,0,0,0.06,0.07,0.01,2.4103526838354212
122,132458,141,17,13.347999999999999,2.543,16.01,13.347999999999999,14.435,2.456,14.54,2.543,16.01,3.92,0,0,0,0,0,0.07,0.08,0.01,2.4098185021952063
123,132204,170,22,13.335,2.556,16.09,13.335,14.337,2.5540000000000003,15.12,2.556,16.09,3.96,0,0,0,0,0,0.03,0.04,0.01,2.385124611246403
124,132350,75,8,13.349,2.542,16.0,13.349,14.446,2.445,14.47,2.542,16.0,3.92,0,0,0,0,0,0.06,0.08,0.02,2.339237427909499
125,132013,132,16,13.411,2.48,15.61,13.411,14.502,2.3890000000000002,14.15,2.48,15.61,3.95,0,0,0,0,0,0.03,0.05,0.02,2.3220291162723363
126,132237,53,6,13.455,2.436,15.33,13.455,14.520999999999999,2.37,14.03,2.436,15.33,3.97,0,0,0,0,0,0.02,0.03,0.0,2.2969050669096998
127,132320,54,6,13.357000000000001,2.5340000000000003,15.95,13.357000000000001,14.390999999999998,2.5,14.8,2.5340000000000003,15.95,3.93,0,0,0,0,0,0.06,0.07,0.01,2.258444784993222
128,132025,36,4,13.347999999999999,2.543,16.0,13.347999999999999,14.412,2.479,14.68,2.543,16.0,3.94,0,0,0,0,0,0.04,0.06,0.02,2.155679027336103
129,132037,101,12,13.463,2.428,15.28,13.463,14.465,2.426,14.36,2.428,15.28,3.98,0,0,0,0,0,0.02,0.02,0.0,2.1430879908015203
130,132030,107,13,13.45,2.441,15.36,13.45,14.386,2.505,14.83,2.441,15.36,3.98,0,0,0,0,0,0.02,0.02,0.01,2.119460996573164
131,132441,124,15,13.514000000000001,2.377,14.96,13.514000000000001,14.482000000000001,2.4090000000000003,14.26,2.377,14.96,3.98,0,0,0,0,0,0.02,0.02,0.01,2.0712628790202454
132,132214,48,6,13.515,2.376,14.95,13.515,14.48,2.412,14.28,2.376,14.95,3.98,0,0,0,0,0,0.02,0.02,0.01,2.0712628790202454
133,132107,99,12,13.43,2.461,15.49,13.43,14.431,2.46,14.56,2.461,15.49,3.95,0,0,0,0,0,0.03,0.05,0.02,2.0569734466840304
134,132139,138,17,13.482999999999999,2.408,15.16,13.482999999999999,14.472000000000001,2.419,14.32,2.408,15.16,3.97,0,0,0,0,0,0.02,0.03,0.01,2.0513176174458754
135,132010,49,6,13.385,2.506,15.77,13.385,14.354000000000001,2.537,15.02,2.506,15.77,3.98,0,0,0,0,0,0.02,0.02,0.0,1.9907034280918021
136,132034,68,7,13.383,2.508,15.78,13.383,14.424000000000001,2.467,14.6,2.508,15.78,3.96,0,0,0,0,0,0.03,0.04,0.01,1.9655225473643776
137,132051,30,3,13.445,2.4459999999999997,15.39,13.445,14.465,2.426,14.36,2.4459999999999997,15.39,3.95,0,0,0,0,0,0.04,0.05,0.01,1.839858252989852
