,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
0,130253,136,17,10.006,5.885,37.04,10.006,9.011000000000001,7.88,46.65,5.885,37.04,0,0,0,0.0,0,3.69,0.0,0.0,0.0,0.0,0.0,0.15,0.31,0.17,28.784705799482644
1,130329,174,22,11.818,4.073,25.63,11.818,12.93,3.9610000000000003,23.45,4.073,25.63,0,0,0,32.125,0,3.88,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.02,27.823832711144302
2,130105,76,8,11.047,4.843999999999999,30.48,11.047,12.058,4.833,28.61,4.843999999999999,30.48,0,0,0,3.0,0,3.88,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.02,25.58306955763898
3,130238,86,10,10.481,5.41,34.05,10.481,12.444,6.322,33.69,5.41,34.05,0,0,0,4.699,0,3.94,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.02,23.846438919344244
4,130121,172,22,11.42,4.471,28.13,11.42,12.527999999999999,4.363,25.83,4.471,28.13,0,0,0,32.0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,23.029530066526178
5,130022,41,5,11.104000000000001,4.788,30.13,11.104000000000001,12.6,6.166,32.86,4.788,30.13,0,0,0,0.0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.02,22.055874527298545
6,130055,80,9,10.854000000000001,5.037,31.69,10.854000000000001,10.544,6.347,37.58,5.037,31.69,0,0,0,4.0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,21.61807068585188
7,130025,30,3,12.470999999999998,3.42,21.52,12.470999999999998,13.538,3.3539999999999996,19.85,3.42,21.52,0,0,0,11.665999999999999,0,3.61,0.0,0.0,0.0,0.0,0.0,0.3,0.39,0.08,21.56671424883644
8,130333,186,21,10.297,5.593999999999999,35.2,10.297,10.243,6.648,39.36,5.593999999999999,35.2,0,0,0,0.0,0,3.94,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.01,21.315112869346823
9,130343,127,15,11.696,4.195,26.4,11.696,12.802999999999999,4.088,24.2,4.195,26.4,0,0,0,0.0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.01,21.093264119730446
10,130225,60,7,11.936,3.955,24.89,11.936,12.890999999999998,4.0,23.68,3.955,24.89,0,0,0,0.0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.01,21.093264119730446
11,130158,115,14,11.505999999999998,4.385,27.6,11.505999999999998,12.089,4.802,28.43,4.385,27.6,0,0,0,0.0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,20.862815198352173
12,130022,179,23,1.1640000000000001,2.7260000000000004,70.07,1.1640000000000001,4.0489999999999995,3.7310000000000003,47.96,2.7260000000000004,70.07,0,0,0,6.666,0,3.94,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.01,20.358547873322816
13,130310,5,1,12.052,3.839,24.16,12.052,12.767000000000001,4.124,24.42,3.839,24.16,0,0,0,0.0,0,3.91,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.02,19.329027929557927
14,130247,31,3,12.674000000000001,3.217,20.24,12.674000000000001,13.735999999999999,3.155,18.68,3.217,20.24,0,0,0,25.333000000000002,0,3.48,0.0,0.0,0.0,0.0,0.0,0.41,0.52,0.11,19.077372590370366
15,130242,26,3,12.663,3.228,20.31,12.663,13.658,3.233,19.14,3.228,20.31,0,0,0,0.0,0,3.42,0.0,0.0,0.0,0.0,0.0,0.45,0.58,0.12,19.018785414758447
16,130336,71,7,11.966,3.925,24.7,11.966,13.024000000000001,3.867,22.9,3.925,24.7,0,0,0,0.0,0,3.97,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.01,18.227920688946142
17,130333,2,1,12.097999999999999,3.793,23.87,12.097999999999999,12.937000000000001,3.9539999999999997,23.41,3.793,23.87,0,0,0,5.5,0,3.92,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.01,17.450793529330873
18,130029,74,8,12.654000000000002,3.237,20.37,12.654000000000002,13.392999999999999,3.498,20.71,3.237,20.37,0,0,0,2.0,0,3.92,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.03,17.28300990212626
19,130252,29,3,12.833,3.0580000000000003,19.25,12.833,13.879000000000001,3.012,17.83,3.0580000000000003,19.25,0,0,0,0.0,0,3.45,0.0,0.0,0.0,0.0,0.0,0.43,0.55,0.11,16.680208800818107
20,130228,51,6,13.030999999999999,2.86,18.0,13.030999999999999,14.102,2.7889999999999997,16.51,2.86,18.0,0,0,0,3.1660000000000004,0,3.81,0.0,0.0,0.0,0.0,0.0,0.16,0.19,0.03,15.82103211429601
21,130058,114,13,12.442,3.449,21.7,12.442,13.497,3.3939999999999997,20.09,3.449,21.7,0,0,0,13.333,0,3.97,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,14.697627481959941
22,130221,91,11,12.89,3.0010000000000003,18.89,12.89,15.777000000000001,2.989,15.93,3.0010000000000003,18.89,0,0,0,0.0,0,3.85,0.0,0.0,0.0,0.0,0.0,0.13,0.15,0.02,14.004325870525735
23,130132,189,21,13.545,2.346,14.77,13.545,14.584000000000001,2.307,13.66,2.346,14.77,0,0,0,0.0,0,3.84,0.0,0.0,0.0,0.0,0.0,0.14,0.16,0.02,13.841921572579205
24,130203,187,21,13.540999999999999,2.35,14.79,13.540999999999999,14.575,2.316,13.71,2.35,14.79,0,0,0,0.0,0,3.82,0.0,0.0,0.0,0.0,0.0,0.16,0.18,0.02,13.841921572579205
25,130459,161,20,12.562000000000001,3.3289999999999997,20.95,12.562000000000001,15.554,3.2119999999999997,17.12,3.3289999999999997,20.95,0,0,0,2.0,0,3.94,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.02,13.83126794359303
26,130458,109,13,12.66,3.2310000000000003,20.33,12.66,13.67,3.221,19.07,3.2310000000000003,20.33,0,0,0,0.0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.02,13.493007514490564
27,130452,158,20,12.532,3.359,21.13,12.532,15.511,3.255,17.35,3.359,21.13,0,0,0,0.0,0,3.94,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.02,13.468831405748407
28,130447,43,5,12.255,3.636,22.88,12.255,13.177999999999999,3.713,21.98,3.636,22.88,0,0,0,0.0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.01,13.418946450893158
29,130125,28,3,12.314,3.577,22.51,12.314,12.977,3.9139999999999997,23.17,3.577,22.51,0,0,0,0.0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.01,13.418946450893138
30,130126,77,8,12.595999999999998,3.295,20.73,12.595999999999998,13.668,3.2230000000000003,19.08,3.295,20.73,0,0,0,0.0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.01,13.242855191837457
31,130458,141,17,13.315999999999999,2.575,16.2,13.315999999999999,14.394,2.497,14.78,2.575,16.2,0,0,0,7.547000000000001,0,3.85,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.04,13.06145629587154
32,130351,33,4,13.567,2.324,14.62,13.567,16.417,2.349,12.52,2.324,14.62,0,0,0,0.0,0,3.85,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.03,12.225115006235189
33,130126,191,21,12.537,3.3539999999999996,21.1,12.537,15.245999999999999,3.52,18.76,3.3539999999999996,21.1,0,0,0,0.0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,12.097041533953668
34,130428,182,23,13.123,2.7680000000000002,17.42,13.123,14.177999999999999,2.713,16.06,2.7680000000000002,17.42,0,0,0,0.0,0,3.9,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.02,11.401787792216222
