,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_diskio_write_time,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
0,134253,136,17,9.788,6.104,38.41,9.788,8.925,7.966,47.16,6.104,38.41,0,0,0,0.0,0,0,3.67,0,0,0,0,0,0.16,0.33,0.17,22.813448521999934
1,134238,86,10,10.755999999999998,5.135,32.31,10.755999999999998,12.802,5.9639999999999995,31.78,5.135,32.31,0,0,0,0.0,0,0,3.5,0,0,0,0,0,0.29,0.5,0.21,22.734827244905915
2,134143,116,14,11.549000000000001,4.342,27.32,11.549000000000001,11.694,5.197,30.77,4.342,27.32,0,0,0,0.0,0,0,3.69,0,0,0,0,0,0.17,0.31,0.14,22.134091428498895
3,134351,33,4,11.4,4.4910000000000005,28.26,11.4,13.068,5.6979999999999995,30.36,4.4910000000000005,28.26,0,0,0,4.0,0,0,3.65,0,0,0,0,0,0.2,0.35,0.15,21.89761620774883
4,134022,41,5,11.345999999999998,4.545,28.6,11.345999999999998,12.866,5.9,31.44,4.545,28.6,0,0,0,0.0,0,0,3.54,0,0,0,0,0,0.08,0.46,0.38,21.59599421942559
5,134158,115,14,11.529000000000002,4.362,27.45,11.529000000000002,12.137,4.754,28.15,4.362,27.45,0,0,0,0.0,0,0,3.83,0,0,0,0,0,0.1,0.17,0.06,18.91074810259471
6,134336,71,7,11.472000000000001,4.419,27.81,11.472000000000001,12.405,4.486000000000001,26.56,4.419,27.81,0,0,0,4.0,0,0,3.78,0,0,0,0,0,0.16,0.22,0.06,18.821165745102824
7,134125,28,3,11.347999999999999,4.543,28.59,11.347999999999999,11.294,5.597,33.14,4.543,28.59,0,0,0,0.0,0,0,3.91,0,0,0,0,0,0.08,0.09,0.01,18.51458873061343
8,134055,80,9,10.817,5.075,31.93,10.817,10.61,6.281000000000001,37.19,5.075,31.93,0,0,0,0.0,0,0,3.94,0,0,0,0,0,0.05,0.06,0.01,17.736437480229785
9,134105,76,8,11.091,4.8,30.21,11.091,12.093,4.798,28.4,4.8,30.21,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.04,0.05,0.01,17.270597235919823
10,134333,186,21,10.328,5.563,35.01,10.328,10.296,6.595,39.04,5.563,35.01,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.04,0.05,0.01,17.270597235919823
11,134121,172,22,11.422,4.468999999999999,28.13,11.422,12.497,4.394,26.01,4.468999999999999,28.13,0,0,0,4.0,0,0,3.94,0,0,0,0,0,0.04,0.06,0.02,15.291790070557376
12,134022,179,23,1.167,2.7239999999999998,70.0,1.167,4.056,3.7239999999999998,47.87,2.7239999999999998,70.0,0,0,0,0.0,0,0,3.92,0,0,0,0,0,0.07,0.08,0.01,15.188714878405206
13,134446,152,19,13.046,2.845,17.9,13.046,14.174000000000001,2.717,16.09,2.845,17.9,0,0,0,5.0,0,0,3.24,0,0,0,0,0,0.58,0.76,0.18,15.093817777910292
14,134354,117,14,11.552,4.3389999999999995,27.3,11.552,13.907,4.859,25.9,4.3389999999999995,27.3,0,0,0,0.0,0,0,3.66,0,0,0,0,0,0.22,0.34,0.12,14.928219437091732
15,134321,171,22,12.349,3.542,22.29,12.349,13.135,3.7560000000000002,22.23,3.542,22.29,0,0,0,0.0,0,0,3.48,0,0,0,0,0,0.33,0.52,0.19,14.450830563148047
16,134310,5,1,11.915,3.9760000000000004,25.02,11.915,12.627,4.263999999999999,25.25,3.9760000000000004,25.02,0,0,0,4.0,0,0,3.56,0,0,0,0,0,0.29,0.44,0.16,14.172238302368536
17,134418,155,20,11.886,4.005,25.2,11.886,12.591,4.3,25.46,4.005,25.2,0,0,0,0.0,0,0,3.45,0,0,0,0,0,0.09,0.55,0.46,14.152295436899037
18,134153,79,9,11.823,4.0680000000000005,25.6,11.823,12.491,4.4,26.05,4.0680000000000005,25.6,0,0,0,0.0,0,0,3.34,0,0,0,0,0,0.07,0.66,0.59,13.675174182179376
19,134023,125,15,11.853,4.038,25.41,11.853,12.04,4.851,28.72,4.038,25.41,0,0,0,0.0,0,0,3.85,0,0,0,0,0,0.12,0.15,0.03,13.0065927350783
20,134307,133,16,12.591,3.3,20.77,12.591,13.522,3.3689999999999998,19.95,3.3,20.77,0,0,0,6.486000000000001,0,0,3.45,0,0,0,0,0,0.45,0.55,0.1,12.727408909599708
21,134221,91,11,12.929,2.9619999999999997,18.64,12.929,15.817,2.949,15.72,2.9619999999999997,18.64,0,0,0,0.0,0,0,3.52,0,0,0,0,0,0.35,0.48,0.13,12.581250894080931
22,134356,90,11,12.607000000000001,3.284,20.66,12.607000000000001,13.453,3.438,20.35,3.284,20.66,0,0,0,7.237,0,0,3.54,0,0,0,0,0,0.31,0.46,0.15,12.503676016108802
23,134255,84,9,12.469000000000001,3.4219999999999997,21.54,12.469000000000001,13.602,3.2889999999999997,19.47,3.4219999999999997,21.54,0,0,0,44.25,0,0,3.79,0,0,0,0,0,0.14,0.21,0.07,12.49795671761353
24,134059,42,5,12.323,3.568,22.46,12.323,13.321,3.57,21.13,3.568,22.46,0,0,0,0.0,0,0,3.53,0,0,0,0,0,0.05,0.47,0.41,12.137843037576943
25,134229,122,14,12.095999999999998,3.795,23.88,12.095999999999998,13.007,3.884,22.99,3.795,23.88,0,0,0,0.0,0,0,3.67,0,0,0,0,0,0.24,0.33,0.09,12.113118195746123
26,134204,170,22,11.789000000000001,4.102,25.82,11.789000000000001,11.88,5.011,29.66,4.102,25.82,0,0,0,0.0,0,0,3.9,0,0,0,0,0,0.07,0.1,0.02,12.063631236048668
27,134334,120,14,12.133,3.758,23.65,12.133,13.043,3.8480000000000003,22.78,3.758,23.65,0,0,0,0.0,0,0,3.71,0,0,0,0,0,0.21,0.29,0.08,11.950390898248424
28,134313,169,22,11.912,3.9789999999999996,25.04,11.912,12.378,4.513,26.72,3.9789999999999996,25.04,0,0,0,0.0,0,0,3.73,0,0,0,0,0,0.21,0.27,0.06,11.905588010471941
29,133958,109,13,12.7,3.1910000000000003,20.08,12.7,13.712,3.179,18.82,3.1910000000000003,20.08,0,0,0,3.25,0,0,2.64,0,0,0,0,0,1.15,1.36,0.21,11.839342582448417
30,134137,95,11,12.03,3.861,24.3,12.03,14.356,4.41,23.5,3.861,24.3,0,0,0,0.0,0,0,3.69,0,0,0,0,0,0.21,0.31,0.1,11.823384258549964
