X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes
131225.089,60,7,11.916,3.975,25.01,11.916,12.874,4.017,23.78,3.975
131227.546,51,6,13.063,2.828,17.8,13.063,14.14,2.751,16.29,2.828
131228.68,122,14,12.885,3.006,18.92,12.885,13.946,2.945,17.43,3.006
131237.089,53,6,13.45,2.441,15.36,13.45,14.525,2.366,14,2.441
131237.61,86,10,10.498,5.393,33.94,10.498,12.461,6.305,33.6,5.393
131238.554,113,13,13.421,2.47,15.55,13.421,14.454,2.437,14.43,2.47
131239.274,87,10,13.438,2.453,15.44,13.438,14.463,2.428,14.38,2.453
131240.635,142,18,13.452,2.439,15.35,13.452,14.462,2.429,14.38,2.439
131241.364,21,2,13.235,2.656,16.72,13.235,14.326,2.565,15.19,2.656
131241.629,26,3,12.706,3.185,20.04,12.706,13.71,3.181,18.83,3.185
131244.264,111,13,13.323,2.568,16.16,13.323,14.408,2.483,14.7,2.568
131246.926,12,2,12.763,3.128,19.68,12.763,13.708,3.183,18.84,3.128
131247.215,31,3,12.507,3.384,21.29,12.507,13.669,3.222,19.08,3.384
131251.635,29,3,12.791,3.1,19.51,12.791,13.84,3.051,18.06,3.1
131251.862,50,6,13.372,2.519,15.85,13.372,14.37,2.522,14.93,2.519
131252.866,136,17,9.92,5.971,37.57,9.92,8.92,7.971,47.19,5.971
131253.369,27,3,13.259,2.632,16.56,13.259,14.322,2.569,15.21,2.632
131255.049,84,9,13.323,2.568,16.16,13.323,14.406,2.485,14.71,2.568
131256.145,61,7,12.746,3.145,19.79,12.746,13.833,3.058,18.11,3.145
131258.021,128,16,13.345,2.546,16.02,13.345,16.216,2.55,13.59,2.546
131310.21,5,1,12.079,3.812,23.99,12.079,12.802,4.089,24.21,3.812
131310.725,145,18,13.04,2.851,17.94,13.04,15.958,2.808,14.96,2.851
131310.845,96,11,13.328,2.563,16.13,13.328,14.411,2.48,14.68,2.563
131311.961,70,7,12.867,3.024,19.03,12.867,15.735,3.031,16.15,3.024
131313.127,169,22,13.32,2.572,16.18,13.32,14.292,2.599,15.38,2.572
131313.421,97,11,13.304,2.587,16.28,13.304,14.426,2.465,14.6,2.587
131314.273,78,8,13.385,2.506,15.77,13.385,14.439,2.453,14.52,2.506
131315.742,156,20,13.234,2.657,16.72,13.234,14.238,2.653,15.71,2.657
131319.882,54,6,13.354,2.537,15.96,13.354,14.393,2.498,14.79,2.537
131320.622,171,22,13.439,2.452,15.43,13.439,14.521,2.37,14.03,2.452
131320.908,176,23,12.759,3.132,19.71,12.759,13.792,3.099,18.34,3.132
131321.133,89,10,13.385,2.507,15.77,13.385,14.474,2.417,14.31,2.507
131324.771,69,7,13.562,2.329,14.66,13.562,14.601,2.29,13.56,2.329
131325.793,106,13,12.696,3.195,20.1,12.696,13.677,3.214,19.03,3.195
131328.217,130,16,12.701,3.19,20.07,12.701,13.692,3.199,18.94,3.19
131328.975,174,22,11.834,4.057,25.53,11.834,12.952,3.939,23.32,4.057
131331.228,34,4,13.168,2.723,17.14,13.168,14.104,2.787,16.5,2.723
131332.817,104,12,13.398,2.493,15.69,13.398,14.475,2.416,14.3,2.493
131333.441,2,1,12.098,3.793,23.87,12.098,12.941,3.95,23.38,3.793
131333.468,186,21,10.38,5.511,34.68,10.38,10.334,6.557,38.82,5.511
131334.245,120,14,12.914,2.977,18.73,12.914,13.981,2.91,17.23,2.977
131335.96,71,7,11.962,3.929,24.73,11.962,13.009,3.882,22.98,3.929
131337.968,92,11,13.38,2.511,15.8,13.38,14.363,2.528,14.96,2.511
131338.185,181,23,13.18,2.711,17.06,13.18,14.223,2.668,15.8,2.711
131342.547,110,13,13.551,2.34,14.73,13.551,16.453,2.313,12.32,2.34
131343.287,55,6,13.529,2.362,14.86,13.529,14.562,2.329,13.79,2.362
131343.421,127,15,11.711,4.18,26.3,11.711,12.786,4.105,24.3,4.18
131345.111,185,22,12.996,2.895,18.22,12.996,13.988,2.903,17.19,2.895
131345.521,183,11,13.571,2.32,14.6,13.571,14.541,2.35,13.92,2.32
131349.406,8,1,13.408,2.483,15.63,13.408,14.448,2.443,14.46,2.483
131350.364,75,8,13.373,2.518,15.85,13.373,14.473,2.418,14.32,2.518
131351.235,33,4,13.593,2.298,14.46,13.593,16.427,2.339,12.46,2.298
131351.838,150,19,13.527,2.364,14.88,13.527,14.488,2.403,14.23,2.364
131353.849,117,14,12.88,3.011,18.95,12.88,15.736,3.03,16.15,3.011
131356.174,90,11,13.504,2.387,15.02,13.504,14.473,2.418,14.31,2.387
131401.033,7,1,13.173,2.718,17.1,13.173,14.284,2.607,15.44,2.718
131402.03,184,21,13.625,2.266,14.26,13.625,14.571,2.32,13.73,2.266
131402.254,24,2,13.252,2.639,16.61,13.252,14.325,2.566,15.19,2.639
131404.995,168,22,13.024,2.867,18.04,13.024,14.036,2.855,16.9,2.867
131405.653,83,9,13.041,2.85,17.93,13.041,14.198,2.693,15.94,2.85
131407.412,1,1,13.337,2.554,16.07,13.337,14.321,2.57,15.21,2.554
131408.743,3,1,13.308,2.583,16.25,13.308,14.359,2.532,14.99,2.583
131411.37,25,3,12.981,2.91,18.31,12.981,15.747,3.019,16.09,2.91
131417.791,155,20,13.344,2.547,16.03,13.344,14.339,2.552,15.11,2.547
131421.351,52,6,13.538,2.353,14.81,13.538,14.578,2.313,13.69,2.353
131421.898,98,11,12.925,2.966,18.67,12.925,14.047,2.844,16.84,2.966
131423.119,47,5,13.506,2.385,15.01,13.506,14.549,2.342,13.87,2.385
131427.879,182,23,13.118,2.773,17.45,13.118,14.173,2.718,16.09,2.773
131434.086,175,22,13.488,2.403,15.12,13.488,14.553,2.338,13.84,2.403
131438.704,6,1,13.531,2.36,14.85,13.531,14.565,2.326,13.77,2.36
131441.165,124,15,13.552,2.339,14.72,13.552,14.517,2.374,14.05,2.339
131444.378,102,12,13.352,2.539,15.98,13.352,14.43,2.461,14.57,2.539
131445.894,152,19,13.376,2.515,15.83,13.376,14.463,2.428,14.38,2.515
131450.149,88,10,13.314,2.577,16.22,13.314,14.447,2.444,14.47,2.577
131451.103,72,8,13.283,2.608,16.41,13.283,14.261,2.63,15.57,2.608
131451.431,103,12,12.556,3.335,20.98,12.556,13.679,3.212,19.01,3.335
131458.036,141,17,13.346,2.545,16.01,13.346,14.425,2.466,14.6,2.545
131458.274,109,13,12.694,3.197,20.12,12.694,13.706,3.185,18.85,3.197
131458.955,161,20,12.071,3.82,24.04,12.071,14.939,3.827,20.39,3.82
