X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_pct
131003.575,141,17,0,0,0,17.333,0
131004.681,109,13,0,0,0,0,0
131007.041,161,20,0,0,0,0,0
131011.474,126,15,0,0,0,0,0
131011.558,85,10,0,0,0,0,0
131013.545,49,6,0,0,0,9.333,0
131016.113,44,5,2.899,0,0,4,0
131019.13,108,13,0,0,0,0,0
131019.477,132,16,0,0,0,0,0
131020.469,149,19,0,0,0,0,0
131022.013,179,23,0,0,0,5,0
131022.031,135,16,0,0,0,0,0
131027.213,37,4,0,0,0,0,0
131028.567,41,5,0,0,0,0,0
131029.852,125,15,0,0,0,26,0
131036.134,107,13,0,0,0,0,0
131036.367,36,4,0,0,0,0,0
131036.976,38,4,0,0,0,0,0
131037.829,68,7,0,0,0,0,0
131038.44,74,8,0,0,0,0,0
131042.811,101,12,0,0,0,0,0
131053.603,82,9,0,0,0,24,0
131054.569,143,18,0,0,0,0,0
131054.921,80,9,0,0,0,0,0
131055.469,30,3,7.884,0,0,5.182,0
131055.916,93,11,0,0,0,0,0
131056.513,35,4,0,0,0,0,0
131058.085,180,23,0,0,0,64,0
131058.867,118,14,0,0,0,0,0
131100.421,114,13,0,0,0,0,0
131101.311,45,5,4,0,0,0,0
131102.578,42,5,0,0,0,0,0
131106.078,76,8,0,0,0,0,0
131112.917,153,19,0,0,0,0,0
131114.106,99,12,0,0,0,0,0
131114.326,131,16,0,0,0,0,0
131115.714,121,14,0,0,0,0,0
131120.237,100,12,0,0,0,0,0
131120.853,172,22,0,0,0,0,0
131125.638,28,3,0,0,0,0,0
131126.054,139,17,0,0,0,0,0
131126.332,77,8,0,0,0,2,0
131126.692,191,21,0,0,0,0,0
131127.417,190,21,0,0,0,3.75,0
131128.011,157,20,0,0,0,0,0
131128.313,148,18,0,0,0,0,0
131130.224,178,23,0,0,0,0,0
131132.29,147,18,0,0,0,34.25,0
131132.868,119,14,0,0,0,0,0
131134.171,22,2,0,0,0,0,0
131138.315,23,2,0,0,0,0,0
131140.914,4,1,0,0,0,0,0
131141.07,189,21,0,0,0,0,0
131144.614,95,11,0,0,0,0,0
131145.158,40,4,0,0,0,0,0
131146.197,138,17,0,0,0,0,0
131148.033,146,18,0,0,0,0,0
131151.226,14,2,0,0,0,0,0
131155.363,116,14,0,0,0,0,0
131157.253,79,9,0,0,0,0,0
131200.437,173,22,0,0,0,1,0
131201.196,115,14,0,0,0,0,0
131201.573,188,7,0,0,0,6,0
131202.414,134,16,0,0,0,0,0
131205.023,177,23,0,0,0,0,0
131206.464,160,20,8.875,0,0,0,0
131207.177,105,12,0,0,0,0,0
131208.264,170,22,0,0,0,0,0
131210.04,159,20,0,0,0,6.451,0
131211.4,187,21,0,0,0,0,0
131214.947,20,2,0,0,0,0,0
131217.659,48,6,0,0,0,0,0
131220.425,144,18,0,0,0,0,0
131223.651,151,19,0,0,0,0,0
131224.604,32,4,0,0,0,0,0
131225.421,60,7,0,0,0,0,0
131227.883,154,19,0,0,0,4.666,0
131230.548,91,11,0,0,0,2.5,0
131231.94,51,6,0,0,0,0,0
131238.945,122,14,0,0,0,0,0
131243.459,113,13,0,0,0,0,0
131243.731,53,6,0,0,0,9.333,0
131244.027,86,10,0,0,0,0,0
131245.718,87,10,0,0,0,0,0
131246.628,142,18,0,0,0,4.666,0
131247.234,12,2,0,0,0,0,0
131247.833,111,13,0,0,0,47.166,0
131248.969,21,2,0,0,0,0,0
131251.501,31,3,0,0,0,0,0
131253.187,136,17,0,0,0,0,0
131255.599,29,3,0,0,0,7.648,0
131256.121,26,3,0,0,0,0,0
131257.352,61,7,0,0,0,106.666,0
131258.39,27,3,0,0,0,0,0
131300.269,84,9,0,0,0,0,0
131302.15,50,6,0,0,0,0,0
131304.758,128,16,0,0,0,0,0
131315.727,96,11,0,0,0,0,0
131317.035,169,22,0,0,0,0,0
131317.228,97,11,0,0,0,0,0
131318.568,5,1,0,0,0,0,0
131319.836,156,20,0,0,0,0,0
131320.885,78,8,0,0,0,0,0
131321.008,70,7,0,0,0,0,0
131323.024,145,18,0,0,0,0,0
131324.418,171,22,0,0,0,0,0
131324.73,176,23,0,0,0,0,0
131325.405,89,10,0,0,0,0,0
131326.645,54,6,0,0,0,4.583,0
131329.381,130,16,0,0,0,0,0
131331.208,69,7,0,0,0,0,0
131332.011,106,13,0,0,0,0,0
131333.763,2,1,0,0,0,0,0
131333.806,186,21,0,0,0,0,0
131336.279,71,7,0,0,0,0,0
131338.572,120,14,0,0,0,0,0
131339.317,104,12,0,0,0,0,0
131341.745,34,4,0,0,0,0,0
131341.851,92,11,0,0,0,0,0
131343.661,174,22,0,0,0,0,0
131343.738,127,15,0,0,0,0,0
131345.895,181,23,0,0,0,0,0
131348.841,110,13,0,0,0,0,0
131348.937,185,22,0,0,0,0,0
131350.166,55,6,0,0,0,0,0
131355.729,8,1,0,0,0,0,0
131356.854,183,11,0,0,0,0,0
131357.34,75,8,0,0,0,0,0
131357.475,33,4,0,0,0,0,0
131359.076,150,19,0,0,0,0,0
131402.915,90,11,0,0,0,0,0
131404.954,117,14,0,0,0,0,0
131405.359,7,1,0,0,0,0,0
131406.251,24,2,0,0,0,0,0
