,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,actual_free,actual_used_bytes,actual_used_pct,free,swap_free,swap_total,swap_used_bytes,swap_used_pct,total,used_bytes,used_pct
17166,"December 18th 2018, 13:00:55.592",1,n_oTwmcBrehMbwjYpdqu,metricbeat-000209,NA,doc,93,6.2.4,11,system,memory,,12.877,3.014,0.1897,12.877,13.951,16.891,2.94,0.1741,15.891,3.014,0.1897
17142,"December 18th 2018, 13:01:37.323",1,K-kAwmcBn_oGi6rswTfG,metricbeat-000209,NA,doc,95,6.2.4,11,system,memory,146,13.495,2.396,0.1508,13.495,16.398,18.766,2.368,0.1262,15.891,2.396,0.1508
17096,"December 18th 2018, 13:03:10.850",1,lpUfwmcBbOSZnM2xJmed,metricbeat-000209,NA,doc,96,6.2.4,11,system,memory,,13.324,2.567,0.1615,13.324,14.392,16.891,2.499,0.148,15.891,2.567,0.1615
17093,"December 18th 2018, 13:03:13.422",1,K-wBwmcBrehMbwjYWPX5,metricbeat-000209,NA,doc,97,6.2.4,11,system,memory,,13.319,2.572,0.1618,13.319,14.439,16.891,2.452,0.1452,15.891,2.572,0.1618
17053,"December 18th 2018, 13:04:21.905",1,koUBwmcBbOSZnM2xPegk,metricbeat-000209,NA,doc,98,6.2.4,11,system,memory,210,12.941,2.95,0.1857,12.941,14.089,16.891,2.802,0.1659,15.891,2.95,0.1857
17070,"December 18th 2018, 13:03:45.511",1,QR0jwmcBdDbnrhqkc0j0,metricbeat-000209,NA,doc,183,6.2.4,11,system,memory,,13.566,2.325,0.1463,13.566,14.527,16.891,2.364,0.14,15.891,2.325,0.1463
17161,"December 18th 2018, 13:01:07.286",1,3eYAwmcBxOZ1qs_p_OoO,metricbeat-000209,NA,doc,99,6.2.4,12,system,memory,,13.431,2.46,0.1548,13.431,14.436,16.891,2.455,0.1453,15.891,2.46,0.1548
17158,"December 18th 2018, 13:01:13.955",1,-1MAwmcBuqt-6aA3t83G,metricbeat-000209,NA,doc,100,6.2.4,12,system,memory,,13.536,2.355,0.1482,13.536,14.472,16.891,2.419,0.1432,15.891,2.355,0.1482
17175,"December 18th 2018, 13:00:37.187",1,nEkAwmcBAOA7YPJGn0xU,metricbeat-000209,NA,doc,101,6.2.4,12,system,memory,,13.472,2.42,0.1523,13.472,14.46,16.891,2.431,0.1439,15.891,2.42,0.1523
17047,"December 18th 2018, 13:04:44.375",1,qw4BwmcBdDbnrhqkvSSc,metricbeat-000209,NA,doc,102,6.2.4,12,system,memory,140,13.392,2.499,0.1573,13.392,14.469,16.891,2.422,0.1434,15.891,2.499,0.1573
17042,"December 18th 2018, 13:04:51.419",1,hh0lwmcBdDbnrhqkF9HN,metricbeat-000209,NA,doc,103,6.2.4,12,system,memory,218,12.599,3.292,0.2072,12.599,13.721,16.891,3.17,0.1877,15.891,3.292,0.2072
17081,"December 18th 2018, 13:03:32.807",1,oQ0BwmcBdDbnrhqkIBFi,metricbeat-000209,NA,doc,104,6.2.4,12,system,memory,,13.415,2.476,0.1558,13.415,14.488,16.891,2.403,0.1423,15.891,2.476,0.1558
17128,"December 18th 2018, 13:02:03.039",1,CkoBwmcBAOA7YPJGMGzj,metricbeat-000209,NA,doc,105,6.2.4,12,system,memory,,13.348,2.543,0.16,13.348,14.425,16.891,2.466,0.146,15.891,2.543,0.16
17085,"December 18th 2018, 13:03:25.793",1,_pkgwmcBX8H-MD0_zIL4,metricbeat-000209,NA,doc,106,6.2.4,13,system,memory,,12.727,3.164,0.1991,12.727,13.723,16.891,3.168,0.1876,15.891,3.164,0.1991
17177,"December 18th 2018, 13:00:30.486",1,X4UAwmcBbOSZnM2x50Qj,metricbeat-000209,NA,doc,107,6.2.4,13,system,memory,,13.474,2.417,0.1521,13.474,14.425,16.891,2.466,0.146,15.891,2.417,0.1521
17188,"December 18th 2018, 13:00:13.233",1,cYUAwmcBbOSZnM2x4DRN,metricbeat-000209,NA,doc,108,6.2.4,13,system,memory,,13.458,2.433,0.1531,13.458,14.467,16.891,2.424,0.1435,15.891,2.433,0.1531
17039,"December 18th 2018, 13:04:58.276",1,8-wmcBxOZ1qs_pwzAb,metricbeat-000209,NA,doc,109,6.2.4,13,system,memory,,12.66,3.231,0.2033,12.66,13.67,16.891,3.221,0.1907,15.891,3.231,0.2033
17074,"December 18th 2018, 13:03:42.563",1,zw0BwmcBdDbnrhqkbcuw,metricbeat-000209,NA,doc,110,6.2.4,13,system,memory,,13.555,2.336,0.147,13.555,16.462,18.766,2.304,0.1228,15.891,2.336,0.147
17108,"December 18th 2018, 13:02:44.269",1,9ukAwmcBn_oGi6rs5ovo,metricbeat-000209,NA,doc,111,6.2.4,13,system,memory,,13.331,2.56,0.1611,13.331,14.417,16.891,2.474,0.1465,15.891,2.56,0.1611
17113,"December 18th 2018, 13:02:38.574",1,uyEUwmcBN4R-DFd1H8kx,metricbeat-000209,NA,doc,113,6.2.4,13,system,memory,93,13.412,2.479,0.156,13.412,14.463,16.891,2.428,0.1438,15.891,2.479,0.156
17165,"December 18th 2018, 13:00:58.076",1,0IkAwmcBX8H-MD0_8piM,metricbeat-000209,NA,doc,114,6.2.4,13,system,memory,,12.442,3.449,0.217,12.442,13.497,16.891,3.394,0.2009,15.891,3.449,0.217
17132,"December 18th 2018, 13:01:57.671",1,o1QBwmcBuqt-6aA3L7Ex,metricbeat-000209,NA,doc,115,6.2.4,14,system,memory,,11.506,4.385,0.276,11.506,12.089,16.891,4.802,0.2843,15.891,4.385,0.276
17138,"December 18th 2018, 13:01:42.629",1,yoUBwmcBbOSZnM2xKa48,metricbeat-000209,NA,doc,116,6.2.4,14,system,memory,,13.388,2.503,0.1575,13.388,14.406,16.891,2.485,0.1471,15.891,2.503,0.1575
17065,"December 18th 2018, 13:03:53.849",1,6OwBwmcBrehMbwjYL4lG,metricbeat-000209,NA,doc,117,6.2.4,14,system,memory,,12.888,3.004,0.189,12.888,15.76,18.766,3.006,0.1602,15.891,3.004,0.189
17169,"December 18th 2018, 13:00:52.821",1,zogAwmcBX8H-MD0_quJk,metricbeat-000209,NA,doc,118,6.2.4,14,system,memory,,13.001,2.89,0.1818,13.001,15.893,18.766,2.873,0.1531,15.891,2.89,0.1818
17149,"December 18th 2018, 13:01:26.088",1,ClgTwmcBAOA7YPJGxNKK,metricbeat-000209,NA,doc,119,6.2.4,14,system,memory,,13.054,2.837,0.1786,13.054,14.14,16.891,2.751,0.1629,15.891,2.837,0.1786
17078,"December 18th 2018, 13:03:34.243",1,pxIBwmcBN4R-DFd1IZgk,metricbeat-000209,NA,doc,120,6.2.4,14,system,memory,,12.889,3.002,0.1889,12.889,13.939,16.891,2.952,0.1747,15.891,3.002,0.1889
17159,"December 18th 2018, 13:01:11.604",1,oUoAwmcBAOA7YPJG_it7,metricbeat-000209,NA,doc,121,6.2.4,14,system,memory,60,12.844,3.047,0.1917,12.844,13.946,16.891,2.945,0.1743,15.891,3.047,0.1917
17116,"December 18th 2018, 13:02:28.677",1,qRwUwmcBdDbnrhqkCylE,metricbeat-000209,NA,doc,122,6.2.4,14,system,memory,,12.881,3.01,0.1894,12.881,13.946,16.891,2.945,0.1743,15.891,3.01,0.1894
12875,"December 18th 2018, 15:16:55.846",1,P9FTwmcB6ZGVNHRkY8g4,metricbeat-000209,NA,doc,123,6.2.4,15,system,memory,,13.709,2.182,0.1373,13.709,14.841,16.891,2.05,0.1214,15.891,2.182,0.1373
17048,"December 18th 2018, 13:04:41.168",1,JGUlwmcBuqt-6aA3DRj7,metricbeat-000209,NA,doc,124,6.2.4,15,system,memory,108,13.568,2.323,0.1462,13.568,14.534,16.891,2.357,0.1396,15.891,2.323,0.1462
17182,"December 18th 2018, 13:00:23.366",1,dSATwmcBN4R-DFd1l_m2,metricbeat-000209,NA,doc,125,6.2.4,15,system,memory,,13.454,2.437,0.1534,13.454,14.516,16.891,2.375,0.1406,15.891,2.437,0.1534
17193,"December 18th 2018, 13:00:05.099",1,2oUAwmcBbOSZnM2x2Svy,metricbeat-000209,NA,doc,126,6.2.4,15,system,memory,,12.67,3.221,0.2027,12.67,13.61,16.891,3.281,0.1943,15.891,3.221,0.2027
17072,"December 18th 2018, 13:03:43.419",1,7fkjwmcBn_oGi6rsUOXo,metricbeat-000209,NA,doc,127,6.2.4,15,system,memory,,11.696,4.195,0.264,11.696,12.803,16.891,4.088,0.242,15.891,4.195,0.264
17099,"December 18th 2018, 13:02:58.034",1,ueYAwmcBxOZ1qs_p68mI,metricbeat-000209,NA,doc,128,6.2.4,16,system,memory,,13.363,2.528,0.1591,13.363,16.254,18.766,2.512,0.1339,15.891,2.528,0.1591
17084,"December 18th 2018, 13:03:28.221",1,J0oBwmcBAOA7YPJGaPVL,metricbeat-000209,NA,doc,130,6.2.4,16,system,memory,133,12.708,3.183,0.2003,12.708,13.717,16.891,3.174,0.1879,15.891,3.183,0.2003
17160,"December 18th 2018, 13:01:10.093",1,#NAME?,metricbeat-000209,NA,doc,131,6.2.4,16,system,memory,103,13.277,2.614,0.1645,13.277,14.264,16.891,2.627,0.1555,15.891,2.614,0.1645
17189,"December 18th 2018, 13:00:12.594",1,qWITwmcBuqt-6aA3kbX5,metricbeat-000209,NA,doc,132,6.2.4,16,system,memory,,13.411,2.48,0.1561,13.411,14.493,16.891,2.398,0.142,15.891,2.48,0.1561
16011,"December 18th 2018, 13:38:07.163",1,y2ESwmcBuqt-6aA3nxzk,metricbeat-000209,NA,doc,133,6.2.4,16,system,memory,,13.575,2.316,0.1458,13.575,14.816,16.891,2.075,0.1228,15.891,2.316,0.1458
17133,"December 18th 2018, 13:01:55.151",1,kusAwmcBrehMbwjYxtJH,metricbeat-000209,NA,doc,134,6.2.4,16,system,memory,,13.063,2.828,0.178,13.063,16.041,18.766,2.725,0.1452,15.891,2.828,0.178
17186,"December 18th 2018, 13:00:18.039",1,BYkAwmcBX8H-MD0_43JJ,metricbeat-000209,NA,doc,135,6.2.4,16,system,memory,,13.406,2.485,0.1564,13.406,14.486,16.891,2.405,0.1424,15.891,2.485,0.1564
17103,"December 18th 2018, 13:02:52.865",1,imMUwmcBuqt-6aA3Lrqq,metricbeat-000209,NA,doc,136,6.2.4,17,system,memory,,10.006,5.885,0.3704,10.006,9.011,16.891,7.88,0.4665,15.891,5.885,0.3704
17139,"December 18th 2018, 13:01:39.238",1,QIkBwmcBX8H-MD0_KN1q,metricbeat-000209,NA,doc,138,6.2.4,17,system,memory,,13.477,2.414,0.1519,13.477,14.464,16.891,2.427,0.1437,15.891,2.414,0.1519
17151,"December 18th 2018, 13:01:25.736",1,0ecBwmcBxOZ1qs_pHAWw,metricbeat-000209,NA,doc,139,6.2.4,17,system,memory,,13.138,2.753,0.1732,13.138,14.25,16.891,2.641,0.1563,15.891,2.753,0.1732
15756,"December 18th 2018, 13:46:20.871",1,i5gTwmcBX8H-MD0_syh3,metricbeat-000209,NA,doc,140,6.2.4,17,system,memory,,13.516,2.375,0.1495,13.516,14.836,16.891,2.055,0.1217,15.891,2.375,0.1495
17040,"December 18th 2018, 13:04:58.039",1,7UoBwmcBAOA7YPJGS73J,metricbeat-000209,NA,doc,141,6.2.4,17,system,memory,,13.316,2.575,0.162,13.316,14.394,16.891,2.497,0.1478,15.891,2.575,0.162
