,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_cpu_cores,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
17063,"December 18th 2018, 13:03:37.967",1,0YkBwmcBX8H-MD0_I9jm,metricbeat-000209,NA,doc,92,6.2.4,11,system,cpu,,4,397.52%,0%,0%,0%,0%,0%,1.90%,0.02480,0.58%
17153,"December 18th 2018, 13:00:55.592",1,Y1QAwmcBuqt-6aA38mpI,metricbeat-000209,NA,doc,93,6.2.4,11,system,cpu,82,4,394.90%,0%,0%,0%,0%,0%,4.45%,0.05100,0.65%
17129,"December 18th 2018, 13:01:37.323",1,jyETwmcBN4R-DFd10WpY,metricbeat-000209,NA,doc,95,6.2.4,11,system,cpu,,4,393.06%,0%,0%,0%,0%,0%,5.71%,0.06940,1.23%
17083,"December 18th 2018, 13:03:10.850",1,cyIfwmcBN4R-DFd1BlLx,metricbeat-000209,NA,doc,96,6.2.4,11,system,cpu,,4,395.70%,0%,0%,0%,0%,0%,3.65%,0.04300,0.65%
17080,"December 18th 2018, 13:03:13.424",1,aOYAwmcBxOZ1qs_p--id,metricbeat-000209,NA,doc,97,6.2.4,11,system,cpu,,4,395.81%,0%,0%,0%,0%,0%,3.31%,0.04190,0.88%
17040,"December 18th 2018, 13:04:21.950",1,dYoBwmcBX8H-MD0_s8Wy,metricbeat-000209,NA,doc,98,6.2.4,11,system,cpu,,4,393.41%,0%,0%,0%,0%,0%,5.40%,0.06590,1.20%
17057,"December 18th 2018, 13:03:45.518",1,Gx0jwmcBdDbnrhqkc0j0,metricbeat-000209,NA,doc,183,6.2.4,11,system,cpu,,4,397.93%,0%,0%,0%,0%,0%,1.60%,0.02070,0.47%
17148,"December 18th 2018, 13:01:07.295",1,MuYAwmcBxOZ1qs_p_OsO,metricbeat-000209,NA,doc,99,6.2.4,12,system,cpu,,4,397.28%,0%,0%,0%,0%,0%,2.15%,0.02720,0.57%
17145,"December 18th 2018, 13:01:13.955",1,QFMAwmcBuqt-6aA3t87G,metricbeat-000209,NA,doc,100,6.2.4,12,system,cpu,,4,397.77%,0%,0%,0%,0%,0%,1.73%,0.02230,0.50%
17162,"December 18th 2018, 13:00:37.187",1,GpQTwmcBbOSZnM2xnhha,metricbeat-000209,NA,doc,101,6.2.4,12,system,cpu,,4,396.31%,0%,0%,0%,0%,0%,2.73%,0.03690,0.96%
17034,"December 18th 2018, 13:04:44.434",1,uIoBwmcBX8H-MD0_RzAY,metricbeat-000209,NA,doc,102,6.2.4,12,system,cpu,,4,395.71%,0%,0%,0%,0%,0%,3.66%,0.04290,0.62%
17029,"December 18th 2018, 13:04:51.430",1,vYYBwmcBbOSZnM2xSQz6,metricbeat-000209,NA,doc,103,6.2.4,12,system,cpu,,4,395.61%,0%,0%,0%,0%,0%,3.46%,0.04390,0.93%
17068,"December 18th 2018, 13:03:32.806",1,mxMBwmcBN4R-DFd1alUG,metricbeat-000209,NA,doc,104,6.2.4,12,system,cpu,,4,396.52%,0%,0%,0%,0%,0%,2.81%,0.03480,0.67%
17115,"December 18th 2018, 13:02:03.039",1,0IkAwmcBX8H-MD0_ykDm,metricbeat-000209,NA,doc,105,6.2.4,12,system,cpu,,4,392.14%,0%,0%,0%,0%,0%,6.99%,0.07860,0.88%
17072,"December 18th 2018, 13:03:25.796",1,4pkgwmcBX8H-MD0_zIL4,metricbeat-000209,NA,doc,106,6.2.4,13,system,cpu,,4,395.10%,0%,0%,0%,0%,0%,3.23%,0.04900,1.66%
17164,"December 18th 2018, 13:00:30.595",1,7wwAwmcBdDbnrhqknRWz,metricbeat-000209,NA,doc,107,6.2.4,13,system,cpu,120,4,395.62%,0%,0%,0%,0%,0%,3.99%,0.04380,0.39%
17175,"December 18th 2018, 13:00:13.233",1,XogAwmcBX8H-MD0_lbZM,metricbeat-000209,NA,doc,108,6.2.4,13,system,cpu,,4,397.58%,0%,0%,0%,0%,0%,1.63%,0.02420,0.79%
17026,"December 18th 2018, 13:04:58.292",1,iecBwmcBxOZ1qs_pTH0Y,metricbeat-000209,NA,doc,109,6.2.4,13,system,cpu,,4,394.59%,0%,0%,0%,0%,0%,3.66%,0.05410,1.75%
17061,"December 18th 2018, 13:03:42.563",1,xCIjwmcBN4R-DFd1Sc-y,metricbeat-000209,NA,doc,110,6.2.4,13,system,cpu,,4,395.88%,0%,0%,0%,0%,0%,3.54%,0.04120,0.58%
17095,"December 18th 2018, 13:02:44.269",1,4fYUwmcBxOZ1qs_pJgeY,metricbeat-000209,NA,doc,111,6.2.4,13,system,cpu,,4,392.98%,0%,0%,0%,0%,0%,6.17%,0.07020,0.85%
17100,"December 18th 2018, 13:02:38.633",1,VooBwmcBX8H-MD0_QCmh,metricbeat-000209,NA,doc,113,6.2.4,13,system,cpu,,4,393.24%,0%,0%,0%,0%,0%,5.90%,0.06760,0.85%
17152,"December 18th 2018, 13:00:58.076",1,XxsTwmcBdDbnrhqkpqNE,metricbeat-000209,NA,doc,114,6.2.4,13,system,cpu,,4,397.14%,0%,0%,0%,0%,0%,2.17%,0.02860,0.69%
17119,"December 18th 2018, 13:01:57.671",1,JecBwmcBxOZ1qs_pLy0z,metricbeat-000209,NA,doc,115,6.2.4,14,system,cpu,,4,396.31%,0%,0%,0%,0%,0%,2.94%,0.03690,0.75%
17125,"December 18th 2018, 13:01:42.629",1,3YUBwmcBbOSZnM2xKa48,metricbeat-000209,NA,doc,116,6.2.4,14,system,cpu,,4,396.90%,0%,0%,0%,0%,0%,2.37%,0.03100,0.73%
17052,"December 18th 2018, 13:03:53.908",1,WxMBwmcBN4R-DFd1c3nG,metricbeat-000209,NA,doc,117,6.2.4,14,system,cpu,,4,397.36%,0%,0%,0%,0%,0%,1.77%,0.02640,0.87%
17156,"December 18th 2018, 13:00:52.821",1,vUoAwmcBAOA7YPJG7xGm,metricbeat-000209,NA,doc,118,6.2.4,14,system,cpu,,4,394.53%,0%,0%,0%,0%,0%,4.86%,0.05470,0.61%
17136,"December 18th 2018, 13:01:26.088",1,1ucBwmcBxOZ1qs_pHAWw,metricbeat-000209,NA,doc,119,6.2.4,14,system,cpu,,4,395.42%,0%,0%,0%,0%,0%,3.84%,0.04580,0.73%
17065,"December 18th 2018, 13:03:34.253",1,vY0BwmcB6ZGVNHRkIWQ2,metricbeat-000209,NA,doc,120,6.2.4,14,system,cpu,,4,394.34%,0%,0%,0%,0%,0%,4.70%,0.05660,0.96%
17146,"December 18th 2018, 13:01:11.611",1,nkoAwmcBAOA7YPJG_it7,metricbeat-000209,NA,doc,121,6.2.4,14,system,cpu,,4,390.99%,0%,0%,0%,0%,0%,7.71%,0.09010,1.30%
17103,"December 18th 2018, 13:02:28.751",1,0pgUwmcBX8H-MD0_CqEZ,metricbeat-000209,NA,doc,122,6.2.4,14,system,cpu,,4,391.06%,0%,0%,0%,0%,0%,6.72%,0.08940,2.22%
12875,"December 18th 2018, 15:16:55.846",1,VLA7wmcBbOSZnM2xZ3Rs,metricbeat-000209,NA,doc,123,6.2.4,15,system,cpu,"18,949",4,0%,0%,0%,0%,0%,0%,0%,0.00000,0%
17035,"December 18th 2018, 13:04:41.172",1,t1UBwmcBuqt-6aA3u76N,metricbeat-000209,NA,doc,124,6.2.4,15,system,cpu,,4,397.27%,0%,0%,0%,0%,0%,2.28%,0.02730,0.45%
17169,"December 18th 2018, 13:00:23.366",1,7BEAwmcBN4R-DFd1m461,metricbeat-000209,NA,doc,125,6.2.4,15,system,cpu,,4,393.93%,0%,0%,0%,0%,0%,5%,0.06070,1.07%
17180,"December 18th 2018, 13:00:05.099",1,aOgAwmcBn_oGi6rsh8fJ,metricbeat-000209,NA,doc,126,6.2.4,15,system,cpu,,4,394.56%,0%,0%,0%,0%,0%,4.35%,0.05440,1.09%
17059,"December 18th 2018, 13:03:43.419",1,5-wBwmcBrehMbwjYKXak,metricbeat-000209,NA,doc,127,6.2.4,15,system,cpu,,4,395.22%,0%,0%,0%,0%,0%,3.98%,0.04780,0.79%
17086,"December 18th 2018, 13:02:58.101",1,zOoBwmcBn_oGi6rsTVvW,metricbeat-000209,NA,doc,128,6.2.4,16,system,cpu,,4,396.21%,0%,0%,0%,0%,0%,2.24%,0.03790,1.55%
17071,"December 18th 2018, 13:03:28.221",1,pQ0BwmcBdDbnrhqkHAgB,metricbeat-000209,NA,doc,130,6.2.4,16,system,cpu,133,4,395.01%,0%,0%,0%,0%,0%,3.90%,0.04990,1.10%
17147,"December 18th 2018, 13:01:10.107",1,AWMTwmcBuqt-6aA3rgjY,metricbeat-000209,NA,doc,131,6.2.4,16,system,cpu,,4,397.06%,0%,0%,0%,0%,0%,2.12%,0.02940,0.82%
17176,"December 18th 2018, 13:00:12.594",1,DoUAwmcBbOSZnM2x4DRN,metricbeat-000209,NA,doc,132,6.2.4,16,system,cpu,,4,395.88%,0%,0%,0%,0%,0%,3.39%,0.04120,0.73%
15998,"December 18th 2018, 13:38:07.161",1,Paw1wmcB6ZGVNHRkWBgM,metricbeat-000209,NA,doc,133,6.2.4,16,system,cpu,"2,005",4,0%,0%,0%,0%,0%,0%,0%,0.00000,0%
17120,"December 18th 2018, 13:01:55.150",1,qZgTwmcBX8H-MD0_6njT,metricbeat-000209,NA,doc,134,6.2.4,16,system,cpu,221,4,392.84%,0%,0%,0%,0%,0%,5.93%,0.07160,1.22%
17173,"December 18th 2018, 13:00:18.053",1,dJsTwmcB6ZGVNHRklYOj,metricbeat-000209,NA,doc,135,6.2.4,16,system,cpu,,4,394.67%,0%,0%,0%,0%,0%,4.76%,0.05330,0.57%
17090,"December 18th 2018, 13:02:52.865",1,uuoBwmcBn_oGi6rsS1Wr,metricbeat-000209,NA,doc,136,6.2.4,17,system,cpu,,4,368.57%,0%,0%,0%,0%,0%,14.60%,0.31430,16.83%
17126,"December 18th 2018, 13:01:39.238",1,BukAwmcBn_oGi6rswjqt,metricbeat-000209,NA,doc,138,6.2.4,17,system,cpu,,4,396.53%,0%,0%,0%,0%,0%,2.35%,0.03470,1.11%
17138,"December 18th 2018, 13:01:25.736",1,ufgTwmcBn_oGi6rsxGKe,metricbeat-000209,NA,doc,139,6.2.4,17,system,cpu,,4,396.24%,0%,0%,0%,0%,0%,3.04%,0.03760,0.72%
15743,"December 18th 2018, 13:46:20.869",1,lTQ3wmcBN4R-DFd1V5Rw,metricbeat-000209,NA,doc,140,6.2.4,17,system,cpu,"2,005",4,0%,0%,0%,0%,0%,0%,0%,0.00000,0%
17027,"December 18th 2018, 13:04:58.042",1,ClUBwmcBuqt-6aA3w9MN,metricbeat-000209,NA,doc,141,6.2.4,17,system,cpu,,4,384.51%,0%,0%,0%,0%,0%,11.98%,0.15490,3.51%
17098,"December 18th 2018, 13:02:40.646",1,5BIBwmcBN4R-DFd1Rvqt,metricbeat-000209,NA,doc,142,6.2.4,18,system,cpu,137,4,397.82%,0%,0%,0%,0%,0%,1.61%,0.02180,0.57%
17159,"December 18th 2018, 13:00:48.166",1,pRIAwmcBN4R-DFd17Fy0,metricbeat-000209,NA,doc,143,6.2.4,18,system,cpu,,4,397.58%,0%,0%,0%,0%,0%,1.61%,0.02420,0.81%
17109,"December 18th 2018, 13:02:13.554",1,qUoBwmcBAOA7YPJGOIRf,metricbeat-000209,NA,doc,144,6.2.4,18,system,cpu,,4,396.73%,0%,0%,0%,0%,0%,2.31%,0.03270,0.96%
17084,"December 18th 2018, 13:03:10.763",1,A0oAwmcBAOA7YPJG-B_o,metricbeat-000209,NA,doc,145,6.2.4,18,system,cpu,,4,397.12%,0%,0%,0%,0%,0%,2.34%,0.02880,0.54%
17124,"December 18th 2018, 13:01:43.548",1,-lQBwmcBuqt-6aA3KaWj,metricbeat-000209,NA,doc,146,6.2.4,18,system,cpu,,4,394.94%,0%,0%,0%,0%,0%,4.22%,0.05060,0.84%
17141,"December 18th 2018, 13:01:24.504",1,UZsTwmcB6ZGVNHRkxOQD,metricbeat-000209,NA,doc,147,6.2.4,18,system,cpu,,4,395.57%,0%,0%,0%,0%,0%,3.65%,0.04430,0.78%
