,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_cpu_cores,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
17070,"December 18th 2018, 13:03:28.989",1,vYoBwmcBX8H-MD0_aHVQ,metricbeat-000209,NA,doc,174,6.2.4,22,system,cpu,,4,388.01%,0%,0%,0%,0%,0%,10.45%,0.11990,1.54%
17037,"December 18th 2018, 13:04:34.095",1,sfwlwmcBrehMbwjYBvOE,metricbeat-000209,NA,doc,175,6.2.4,22,system,cpu,,4,393.49%,0%,0%,0%,0%,0%,4.16%,0.06510,2.34%
17058,"December 18th 2018, 13:03:45.116",1,je0BwmcBrehMbwjYbiv4,metricbeat-000209,NA,doc,185,6.2.4,22,system,cpu,171,4,394.76%,0%,0%,0%,0%,0%,4.77%,0.05240,0.47%
17075,"December 18th 2018, 13:03:20.917",1,_uoBwmcBn_oGi6rsXoO-,metricbeat-000209,NA,doc,176,6.2.4,23,system,cpu,,4,397.32%,0%,0%,0%,0%,0%,2.15%,0.02680,0.54%
17117,"December 18th 2018, 13:02:00.183",1,UucBwmcBxOZ1qs_pMjfN,metricbeat-000209,NA,doc,177,6.2.4,23,system,cpu,92,4,397.94%,0%,0%,0%,0%,0%,1.66%,0.02060,0.41%
17135,"December 18th 2018, 13:01:26.289",1,ieYAwmcBxOZ1qs_pu0zs,metricbeat-000209,NA,doc,178,6.2.4,23,system,cpu,,4,396.22%,0%,0%,0%,0%,0%,2.28%,0.03780,1.50%
17171,"December 18th 2018, 13:00:21.690",1,sOkAwmcBn_oGi6rs5IRL,metricbeat-000209,NA,doc,179,6.2.4,23,system,cpu,,4,394.03%,0%,0%,0%,0%,0%,5.25%,0.05970,0.72%
17161,"December 18th 2018, 13:00:40.597",1,NkoAwmcBAOA7YPJG6gLS,metricbeat-000209,NA,doc,180,6.2.4,23,system,cpu,,4,391.87%,0%,0%,0%,0%,0%,6.18%,0.08130,1.95%
17062,"December 18th 2018, 13:03:38.194",1,#NAME?,metricbeat-000209,NA,doc,181,6.2.4,23,system,cpu,,4,393.05%,0%,0%,0%,0%,0%,5.67%,0.06950,1.28%
17038,"December 18th 2018, 13:04:27.878",1,pVUBwmcBuqt-6aA3tqp0,metricbeat-000209,NA,doc,182,6.2.4,23,system,cpu,,4,390.26%,0%,0%,0%,0%,0%,7.58%,0.09740,2.17%
