,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
24785,"December 18th 2018, 17:42:52.193",1,yeZpwmcBX8H-MD0_z0Ov,metricbeat-000209,NA,doc,50,6.2.4,6,system,network,"3,011",95.69MB,0,0,"224,056",Ethernet,62.537MB,0,0,"236,112"
24787,"December 18th 2018, 17:42:51.270",1,_lh0wmcBrehMbwjYY1LQ,metricbeat-000209,NA,doc,29,6.2.4,3,system,network,"1,002",87.344MB,0,0,"191,704",Ethernet,51.053MB,0,0,"200,609"
24791,"December 18th 2018, 17:42:47.379",1,8khpwmcBrehMbwjYv7m-,metricbeat-000209,NA,doc,31,6.2.4,3,system,network,"2,884",311.134MB,0,0,"714,719",Ethernet,194.735MB,0,0,"763,428"
24794,"December 18th 2018, 17:42:46.840",1,NqZpwmcBAOA7YPJGvIWR,metricbeat-000209,NA,doc,12,6.2.4,2,system,network,"3,854",883.161MB,0,0,"1,627,632",Ethernet,459.154MB,0,0,"1,655,098"
24796,"December 18th 2018, 17:42:44.057",1,9vV0wmcBX8H-MD0_Xq6T,metricbeat-000209,NA,doc,111,6.2.4,13,system,network,791,153.919MB,0,0,"331,831",Ethernet,105.514MB,0,0,"366,662"
24798,"December 18th 2018, 17:42:41.214",1,dOZpwmcBX8H-MD0_rwMC,metricbeat-000209,NA,doc,26,6.2.4,3,system,network,"3,941",184.876MB,0,0,"315,672",Ethernet,82.739MB,0,0,"310,828"
24802,"December 18th 2018, 17:42:41.107",1,z_h0wmcB6ZGVNHRkW950,metricbeat-000209,NA,doc,21,6.2.4,2,system,network,"3,023",106.743MB,0,0,"258,716",Ethernet,100.664MB,0,0,"349,181"
24805,"December 18th 2018, 17:42:40.610",1,T0NpwmcBxOZ1qs_poV7g,metricbeat-000209,NA,doc,142,6.2.4,18,system,network,"3,986",152.842MB,0,0,"291,946",Ethernet,81.946MB,0,0,"293,896"
24808,"December 18th 2018, 17:42:38.694",1,_25pwmcBN4R-DFd1msc9,metricbeat-000209,NA,doc,113,6.2.4,13,system,network,"3,005",82.306MB,0,0,"174,564",Ethernet,52.798MB,0,0,"184,426"
24811,"December 18th 2018, 17:42:37.910",1,MrZ0wmcBAOA7YPJGVw_2,metricbeat-000209,NA,doc,76,6.2.4,8,system,network,"4,027",497.115MB,0,0,"379,481",Ethernet,43.731MB,0,0,"223,724"
24815,"December 18th 2018, 17:42:36.766",1,#NAME?,metricbeat-000209,NA,doc,53,6.2.4,6,system,network,"1,993",87.71MB,0,0,"197,637",Ethernet,54.751MB,0,0,"216,516"
