,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
144,131832.818,104,12,3.9659,0,0,0,0,0,0.0269,0.0341,0.0072,0.22582862932717546
145,131515.87300000002,149,19,3.9584,0,0,0,0,0,0.0357,0.0416,0.0059,0.21341558207949426
146,131944.43,102,12,3.9559,0,0,0,0,0,0.0358,0.0441,0.0082,0.21003668965878655
147,131632.176,189,21,3.9528,0,0,0,0,0,0.0381,0.0472,0.0091,0.21003668965878614
148,131529.301,74,8,3.9527,0,0,0,0,0,0.0379,0.0473,0.0094,0.21003668965878614
149,131725.08800000002,60,7,3.9661,0,0,0,0,0,0.0271,0.0339,0.0067,0.17467610687979446
150,131907.41,1,1,3.9685,0,0,0,0,0,0.0255,0.0315,0.006,0.12466721769868053
151,131843.418,127,15,3.9587,0,0,0,0,0,0.0367,0.0413,0.0046,0.11650556907143754
152,131849.48,8,1,3.9667,0,0,0,0,0,0.0258,0.0333,0.0074,0.07260025323099778
153,131820.62099999998,171,22,3.9661,0,0,0,0,0,0.0266,0.0339,0.0073,0.07260025323099778
154,131755.053,84,9,3.9682,0,0,0,0,0,0.0256,0.0318,0.0062,0.021447730783616798
