,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,system_cpu_idle_pct.1,system_cpu_iowait_pct.1,system_cpu_irq_pct.1,system_cpu_nice_pct.1,system_cpu_softirq_pct.1,system_cpu_steal_pct.1,system_cpu_system_pct.1,system_cpu_total_pct.1,system_cpu_user_pct.1,system_cpu_idle_pct.2,system_cpu_iowait_pct.2,system_cpu_irq_pct.2,system_cpu_nice_pct.2,system_cpu_softirq_pct.2,system_cpu_steal_pct.2,system_cpu_system_pct.2,system_cpu_total_pct.2,system_cpu_user_pct.2,HBOS
37,134755,84,9,3.79,0,0,0,0,0,0.14,0.21,0.07,3.79,0,0,0,0,0,0.14,0.21,0.07,3.83,0,0,0,0,0,0.13,0.17,0.04,13.380121171183625
38,134610,131,16,3.75,0,0,0,0,0,0.18,0.25,0.06,3.75,0,0,0,0,0,0.18,0.25,0.06,3.85,0,0,0,0,0,0.12,0.15,0.03,13.150447084055312
39,134549,46,5,3.79,0,0,0,0,0,0.18,0.21,0.03,3.79,0,0,0,0,0,0.18,0.21,0.03,3.81,0,0,0,0,0,0.15,0.19,0.04,12.584384745998868
40,134700,160,20,3.8,0,0,0,0,0,0.11,0.2,0.08,3.8,0,0,0,0,0,0.11,0.2,0.08,3.79,0,0,0,0,0,0.15,0.21,0.05,12.334319367120345
41,134703,187,21,3.81,0,0,0,0,0,0.13,0.19,0.06,3.81,0,0,0,0,0,0.13,0.19,0.06,3.85,0,0,0,0,0,0.12,0.15,0.02,11.7848247229009
42,134821,89,10,3.82,0,0,0,0,0,0.14,0.18,0.04,3.82,0,0,0,0,0,0.14,0.18,0.04,3.85,0,0,0,0,0,0.13,0.15,0.02,11.307703468181238
43,134739,87,10,3.95,0,0,0,0,0,0.03,0.05,0.02,3.95,0,0,0,0,0,0.03,0.05,0.02,3.35,0,0,0,0,0,0.51,0.65,0.14,11.16638383406076
44,134838,181,23,3.84,0,0,0,0,0,0.12,0.16,0.03,3.84,0,0,0,0,0,0.12,0.16,0.03,3.74,0,0,0,0,0,0.2,0.26,0.06,10.916171113148247
45,134939,6,1,3.8,0,0,0,0,0,0.18,0.2,0.02,3.8,0,0,0,0,0,0.18,0.2,0.02,3.85,0,0,0,0,0,0.1,0.15,0.05,10.900768513944579
46,134541,180,23,3.84,0,0,0,0,0,0.12,0.16,0.04,3.84,0,0,0,0,0,0.12,0.16,0.04,3.86,0,0,0,0,0,0.11,0.14,0.03,10.822149045924712
47,134523,125,15,3.85,0,0,0,0,0,0.12,0.15,0.03,3.85,0,0,0,0,0,0.12,0.15,0.03,3.82,0,0,0,0,0,0.13,0.18,0.05,10.566876540821404
48,134752,29,3,3.76,0,0,0,0,0,0.18,0.24,0.05,3.76,0,0,0,0,0,0.18,0.24,0.05,3.94,0,0,0,0,0,0.05,0.06,0.01,10.20721516504067
49,134708,20,2,3.85,0,0,0,0,0,0.11,0.15,0.04,3.85,0,0,0,0,0,0.11,0.15,0.04,3.8,0,0,0,0,0,0.16,0.2,0.04,10.16893653214937
50,134624,148,18,3.86,0,0,0,0,0,0.12,0.14,0.02,3.86,0,0,0,0,0,0.12,0.14,0.02,3.82,0,0,0,0,0,0.13,0.19,0.05,10.158074797481795
51,134944,102,12,3.88,0,0,0,0,0,0.1,0.12,0.02,3.88,0,0,0,0,0,0.1,0.12,0.02,3.78,0,0,0,0,0,0.17,0.22,0.05,9.923991591448425
52,134843,55,6,3.97,0,0,0,0,0,0.02,0.03,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,2.6,0,0,0,0,0,0.87,1.4,0.53,9.914370353471154
53,134653,173,22,3.9,0,0,0,0,0,0.09,0.1,0.01,3.9,0,0,0,0,0,0.09,0.1,0.01,3.74,0,0,0,0,0,0.17,0.26,0.09,9.76422465296207
54,134702,159,20,3.84,0,0,0,0,0,0.12,0.16,0.05,3.84,0,0,0,0,0,0.12,0.16,0.05,3.92,0,0,0,0,0,0.06,0.08,0.02,9.705643476853274
55,134621,140,17,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2.72,0,0,0,0,0,0.91,1.28,0.36,9.630373697105934
56,134703,105,12,3.86,0,0,0,0,0,0.11,0.14,0.03,3.86,0,0,0,0,0,0.11,0.14,0.03,3.87,0,0,0,0,0,0.1,0.13,0.02,9.593038475318698
57,134521,37,4,3.88,0,0,0,0,0,0.08,0.12,0.04,3.88,0,0,0,0,0,0.08,0.12,0.04,3.91,0,0,0,0,0,0.07,0.09,0.01,8.99637351587744
58,134714,48,6,3.93,0,0,0,0,0,0.04,0.07,0.02,3.93,0,0,0,0,0,0.04,0.07,0.02,3.67,0,0,0,0,0,0.09,0.33,0.25,8.994785721956339
59,134826,106,13,3.83,0,0,0,0,0,0.12,0.17,0.04,3.83,0,0,0,0,0,0.12,0.17,0.04,3.94,0,0,0,0,0,0.05,0.06,0.02,8.543125024986868
60,134658,115,14,3.83,0,0,0,0,0,0.1,0.17,0.06,3.83,0,0,0,0,0,0.1,0.17,0.06,3.96,0,0,0,0,0,0.03,0.04,0.01,8.46933881082594
61,134741,142,18,3.89,0,0,0,0,0,0.09,0.11,0.03,3.89,0,0,0,0,0,0.09,0.11,0.03,3.93,0,0,0,0,0,0.05,0.07,0.01,7.958793800619335
62,134739,113,13,3.84,0,0,0,0,0,0.12,0.16,0.03,3.84,0,0,0,0,0,0.12,0.16,0.03,3.95,0,0,0,0,0,0.04,0.05,0.02,7.941065033658896
63,134833,104,12,3.86,0,0,0,0,0,0.11,0.14,0.03,3.86,0,0,0,0,0,0.11,0.14,0.03,3.92,0,0,0,0,0,0.06,0.08,0.01,7.814887224935056
64,134756,61,7,3.97,0,0,0,0,0,0.02,0.03,0.01,3.97,0,0,0,0,0,0.02,0.03,0.01,3.49,0,0,0,0,0,0.38,0.51,0.13,7.712950001861442
65,134550,144,18,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,3.46,0,0,0,0,0,0.39,0.54,0.15,7.712950001861442
66,134548,143,18,3.92,0,0,0,0,0,0.06,0.08,0.02,3.92,0,0,0,0,0,0.06,0.08,0.02,3.85,0,0,0,0,0,0.09,0.15,0.06,7.708982266362379
67,134513,132,16,3.9,0,0,0,0,0,0.08,0.1,0.02,3.9,0,0,0,0,0,0.08,0.1,0.02,3.91,0,0,0,0,0,0.07,0.09,0.01,7.599153645087647
68,134813,97,11,3.89,0,0,0,0,0,0.08,0.11,0.03,3.89,0,0,0,0,0,0.08,0.11,0.03,3.94,0,0,0,0,0,0.05,0.06,0.01,7.492953556309362
69,134625,28,3,3.91,0,0,0,0,0,0.08,0.09,0.01,3.91,0,0,0,0,0,0.08,0.09,0.01,3.78,0,0,0,0,0,0.17,0.22,0.04,7.473494613937904
70,134907,1,1,3.94,0,0,0,0,0,0.04,0.06,0.02,3.94,0,0,0,0,0,0.04,0.06,0.02,3.8,0,0,0,0,0,0.07,0.2,0.13,7.430514291517777
71,134530,38,4,3.91,0,0,0,0,0,0.07,0.09,0.02,3.91,0,0,0,0,0,0.07,0.09,0.02,3.88,0,0,0,0,0,0.09,0.12,0.03,7.362194780137724
72,134626,77,8,3.85,0,0,0,0,0,0.13,0.15,0.02,3.85,0,0,0,0,0,0.13,0.15,0.02,3.95,0,0,0,0,0,0.04,0.05,0.01,7.293967689652501
73,134922,98,11,3.92,0,0,0,0,0,0.07,0.08,0.01,3.92,0,0,0,0,0,0.07,0.08,0.01,3.78,0,0,0,0,0,0.15,0.22,0.06,7.218222108834597
74,134825,69,7,3.86,0,0,0,0,0,0.11,0.14,0.03,3.86,0,0,0,0,0,0.11,0.14,0.03,3.96,0,0,0,0,0,0.03,0.04,0.01,7.180642550235699
75,134704,170,22,3.9,0,0,0,0,0,0.07,0.1,0.02,3.9,0,0,0,0,0,0.07,0.1,0.02,3.92,0,0,0,0,0,0.06,0.08,0.02,7.166507965018663
76,134951,103,12,3.9,0,0,0,0,0,0.09,0.1,0.01,3.9,0,0,0,0,0,0.09,0.1,0.01,3.91,0,0,0,0,0,0.06,0.09,0.03,6.638764241237709
77,134512,44,5,3.91,0,0,0,0,0,0.08,0.09,0.01,3.91,0,0,0,0,0,0.08,0.09,0.01,3.91,0,0,0,0,0,0.07,0.09,0.02,6.320005478613294
78,134714,32,4,3.93,0,0,0,0,0,0.05,0.07,0.02,3.93,0,0,0,0,0,0.05,0.07,0.02,3.91,0,0,0,0,0,0.06,0.09,0.03,6.153918837710637
79,134814,78,8,3.93,0,0,0,0,0,0.05,0.07,0.01,3.93,0,0,0,0,0,0.05,0.07,0.01,3.81,0,0,0,0,0,0.16,0.19,0.03,6.005147283525747
80,134655,134,16,3.92,0,0,0,0,0,0.06,0.08,0.02,3.92,0,0,0,0,0,0.06,0.08,0.02,3.92,0,0,0,0,0,0.07,0.08,0.01,5.76856795634662
81,134928,182,23,3.91,0,0,0,0,0,0.07,0.09,0.01,3.91,0,0,0,0,0,0.07,0.09,0.01,3.9,0,0,0,0,0,0.09,0.1,0.02,5.763702977846008
82,134941,124,15,3.88,0,0,0,0,0,0.11,0.12,0.01,3.88,0,0,0,0,0,0.11,0.12,0.01,3.97,0,0,0,0,0,0.03,0.03,0.0,5.702250498758823
83,134531,107,13,3.95,0,0,0,0,0,0.04,0.05,0.01,3.95,0,0,0,0,0,0.04,0.05,0.01,3.83,0,0,0,0,0,0.12,0.17,0.06,5.369949162819042
84,134639,138,17,3.92,0,0,0,0,0,0.07,0.08,0.01,3.92,0,0,0,0,0,0.07,0.08,0.01,3.89,0,0,0,0,0,0.09,0.11,0.02,5.36576296917397
