,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_diskio_write_time,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
0,131625,28,3,11.315999999999999,4.575,28.79,11.315999999999999,11.324000000000002,5.567,32.96,4.575,28.79,0,0,0,0.0,0,0,3.7,0.0,0.0,0.0,0.0,0.0,0.23,0.3,0.07,27.613119432300117
1,131512,44,5,12.105,3.786,23.83,12.105,12.847999999999999,4.043,23.93,3.786,23.83,0,0,0,20.0,0,0,3.77,0.0,0.0,0.0,0.0,0.0,0.18,0.23,0.05,24.01112995494351
2,131833,186,21,10.322000000000001,5.569,35.04,10.322000000000001,10.267000000000001,6.624,39.22,5.569,35.04,0,0,0,0.0,0,0,3.89,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.02,23.946404448121125
3,131522,41,5,11.083,4.808,30.26,11.083,12.827,5.939,31.65,4.808,30.26,0,0,0,10.0,0,0,3.91,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.02,23.44090291673081
4,131843,127,15,11.734000000000002,4.157,26.16,11.734000000000002,12.821,4.07,24.09,4.157,26.16,0,0,0,0.0,0,0,3.91,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.01,22.0478620888799
5,131605,76,8,11.152000000000001,4.739,29.82,11.152000000000001,12.152000000000001,4.739,28.05,4.739,29.82,0,0,0,0.0,0,0,3.92,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.02,21.463530864512382
6,131738,86,10,10.53,5.361000000000001,33.73,10.53,12.499,6.267,33.39,5.361000000000001,33.73,0,0,0,0.0,0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.02,21.235051535997012
7,131621,172,22,11.412,4.479,28.18,11.412,12.509,4.382,25.94,4.479,28.18,0,0,0,0.0,0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.02,21.01017633175047
8,131555,80,9,10.770999999999999,5.12,32.22,10.770999999999999,10.497,6.394,37.85,5.12,32.22,0,0,0,0.0,0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.01,20.96868084283229
9,131658,115,14,11.502,4.388999999999999,27.62,11.502,12.097000000000001,4.794,28.38,4.388999999999999,27.62,0,0,0,0.0,0,0,3.97,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.01,20.228084598892007
