,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_pct,HBOS
0,131257.35199999998,61,7,0.0,0,0,106.666,0,1.3850135481572365
1,131247.833,111,13,0.0,0,0,47.166000000000004,0,1.3850135481572365
2,131201.573,188,7,0.0,0,0,6.0,0,1.3850135481572365
3,131210.04,159,20,0.0,0,0,6.4510000000000005,0,1.3850135481572365
4,131255.59900000002,29,3,0.0,0,0,7.648,0,1.3850135481572365
5,131243.731,53,6,0.0,0,0,9.333,0,1.3850135481572365
6,131013.545,49,6,0.0,0,0,9.333,0,1.3850135481572365
7,131003.575,141,17,0.0,0,0,17.333,0,1.3850135481572365
8,131053.603,82,9,0.0,0,0,24.0,0,1.3850135481572365
9,131455.466,103,12,0.0,0,0,25.333000000000002,0,1.3850135481572365
10,131029.852,125,15,0.0,0,0,26.0,0,1.3850135481572365
11,131132.29,147,18,0.0,0,0,34.25,0,1.3850135481572365
12,131058.085,180,23,0.0,0,0,64.0,0,1.3850135481572365
13,131042.811,101,12,0.0,0,0,0.0,0,0.0
14,131011.558,85,10,0.0,0,0,0.0,0,0.0
15,131402.915,90,11,0.0,0,0,0.0,0,0.0
16,131359.076,150,19,0.0,0,0,0.0,0,0.0
17,131138.315,23,2,0.0,0,0,0.0,0,0.0
18,131019.13,108,13,0.0,0,0,0.0,0,0.0
19,131019.477,132,16,0.0,0,0,0.0,0,0.0
20,131020.469,149,19,0.0,0,0,0.0,0,0.0
21,131201.196,115,14,0.0,0,0,0.0,0,0.0
22,131128.313,148,18,0.0,0,0,0.0,0,0.0
23,131054.921,80,9,0.0,0,0,0.0,0,0.0
24,131055.916,93,11,0.0,0,0,0.0,0,0.0
25,131056.513,35,4,0.0,0,0,0.0,0,0.0
26,131102.578,42,5,0.0,0,0,0.0,0,0.0
27,131106.078,76,8,0.0,0,0,0.0,0,0.0
28,131112.917,153,19,0.0,0,0,0.0,0,0.0
29,131114.106,99,12,0.0,0,0,0.0,0,0.0
30,131114.326,131,16,0.0,0,0,0.0,0,0.0
31,131115.714,121,14,0.0,0,0,0.0,0,0.0
32,131038.44,74,8,0.0,0,0,0.0,0,0.0
33,131214.947,20,2,0.0,0,0,0.0,0,0.0
34,131058.867,118,14,0.0,0,0,0.0,0,0.0
35,131054.569,143,18,0.0,0,0,0.0,0,0.0
36,131037.829,68,7,0.0,0,0,0.0,0,0.0
37,131004.681,109,13,0.0,0,0,0.0,0,0.0
38,131120.237,100,12,0.0,0,0,0.0,0,0.0
39,131011.474,126,15,0.0,0,0,0.0,0,0.0
40,131036.976,38,4,0.0,0,0,0.0,0,0.0
41,131100.421,114,13,0.0,0,0,0.0,0,0.0
42,131405.359,7,1,0.0,0,0,0.0,0,0.0
43,131151.226,14,2,0.0,0,0,0.0,0,0.0
44,131224.604,32,4,0.0,0,0,0.0,0,0.0
45,131223.65099999998,151,19,0.0,0,0,0.0,0,0.0
46,131220.425,144,18,0.0,0,0,0.0,0,0.0
47,131217.659,48,6,0.0,0,0,0.0,0,0.0
48,131211.4,187,21,0.0,0,0,0.0,0,0.0
49,131130.22400000002,178,23,0.0,0,0,0.0,0,0.0
50,131148.033,146,18,0.0,0,0,0.0,0,0.0
51,131125.638,28,3,0.0,0,0,0.0,0,0.0
52,131208.264,170,22,0.0,0,0,0.0,0,0.0
53,131207.177,105,12,0.0,0,0,0.0,0,0.0
54,131202.414,134,16,0.0,0,0,0.0,0,0.0
55,131128.011,157,20,0.0,0,0,0.0,0,0.0
56,131157.253,79,9,0.0,0,0,0.0,0,0.0
57,131447.297,124,15,0.0,0,0,0.0,0,0.0
58,131027.213,37,4,0.0,0,0,0.0,0,0.0
59,131007.041,161,20,0.0,0,0,0.0,0,0.0
60,131146.197,138,17,0.0,0,0,0.0,0,0.0
61,131120.853,172,22,0.0,0,0,0.0,0,0.0
62,131458.707,72,8,0.0,0,0,0.0,0,0.0
63,131036.367,36,4,0.0,0,0,0.0,0,0.0
64,131357.475,33,4,0.0,0,0,0.0,0,0.0
65,131155.363,116,14,0.0,0,0,0.0,0,0.0
66,131028.567,41,5,0.0,0,0,0.0,0,0.0
67,131022.031,135,16,0.0,0,0,0.0,0,0.0
68,131126.054,139,17,0.0,0,0,0.0,0,0.0
69,131134.171,22,2,0.0,0,0,0.0,0,0.0
70,131205.02300000002,177,23,0.0,0,0,0.0,0,0.0
71,131356.854,183,11,0.0,0,0,0.0,0,0.0
72,131350.166,55,6,0.0,0,0,0.0,0,0.0
73,131036.134,107,13,0.0,0,0,0.0,0,0.0
74,131243.459,113,13,0.0,0,0,0.0,0,0.0
75,131132.86800000002,119,14,0.0,0,0,0.0,0,0.0
