,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_diskio_write_time,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
28,130729,122,14,12.885,3.0060000000000002,18.91,12.885,13.946,2.945,17.44,3.0060000000000002,18.91,0,0,0,4.0,0,0,3.92,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.01,10.647759259622593
29,130655,134,16,13.065999999999999,2.825,17.77,13.065999999999999,16.043,2.7230000000000003,14.51,2.825,17.77,0,0,0,0.0,0,0,3.9,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.02,10.588079865973112
30,130928,182,23,13.132,2.759,17.36,13.132,14.19,2.701,15.99,2.759,17.36,0,0,0,0.0,0,0,3.91,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.02,10.382451069996803
31,130728,51,6,13.042,2.8489999999999998,17.93,13.042,14.129000000000001,2.762,16.35,2.8489999999999998,17.93,0,0,0,0.0,0,0,3.91,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.01,10.291009591084292
32,130541,180,23,12.998,2.8930000000000002,18.21,12.998,14.115,2.7769999999999997,16.44,2.8930000000000002,18.21,0,0,0,0.0,0,0,3.88,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.01,10.090222571451497
33,130700,177,23,13.017000000000001,2.8739999999999997,18.09,13.017000000000001,14.078,2.813,16.65,2.8739999999999997,18.09,0,0,0,21.333000000000002,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,9.933477735268493
34,130653,79,9,12.734000000000002,3.157,19.87,12.734000000000002,13.69,3.201,18.95,3.157,19.87,0,0,0,0.0,0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.02,9.825935469065442
35,130854,117,14,12.875,3.016,18.98,12.875,15.741,3.025,16.12,3.016,18.98,0,0,0,0.0,0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.02,9.713356623769968
36,130508,85,10,13.107999999999999,2.783,17.51,13.107999999999999,14.137,2.7539999999999996,16.3,2.783,17.51,0,0,0,8.0,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,9.69529567904166
37,130826,106,13,12.758,3.133,19.72,12.758,13.732999999999999,3.158,18.7,3.133,19.72,0,0,0,2.25,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,9.365462542546393
38,130628,4,1,12.853,3.0380000000000003,19.12,12.853,15.712,3.054,16.27,3.0380000000000003,19.12,0,0,0,0.0,0,0,3.94,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.01,9.318138149220353
39,130843,110,13,13.55,2.3409999999999997,14.73,13.55,16.455,2.311,12.32,2.3409999999999997,14.73,0,0,0,0.0,0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.01,9.143023635827468
40,130851,33,4,13.579,2.312,14.55,13.579,16.421,2.345,12.5,2.312,14.55,0,0,0,12.0,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.02,9.043363782328408
41,130606,153,19,13.548,2.343,14.75,13.548,14.574000000000002,2.3169999999999997,13.72,2.343,14.75,0,0,0,1.0,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,8.902383507581515
42,130747,12,2,12.758,3.133,19.72,12.758,13.695,3.196,18.92,3.133,19.72,0,0,0,0.0,0,0,3.97,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,8.626507052272627
43,130634,23,2,13.34,2.551,16.05,13.34,14.409,2.4819999999999998,14.69,2.551,16.05,0,0,0,3.5,0,0,3.77,0.0,0.0,0.0,0.0,0.0,0.19,0.23,0.04,8.589474127900132
44,130834,120,14,12.904000000000002,2.987,18.8,12.904000000000002,13.956,2.935,17.38,2.987,18.8,0,0,0,0.0,0,0,3.93,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.01,8.419279931107225
45,130906,83,9,13.027000000000001,2.864,18.02,13.027000000000001,14.179,2.7119999999999997,16.05,2.864,18.02,0,0,0,0.0,0,0,3.94,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.01,8.374153331730321
46,130828,130,16,12.696,3.195,20.11,12.696,13.708,3.1830000000000003,18.84,3.195,20.11,0,0,0,0.0,0,0,3.97,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.01,8.281129975826367
47,130821,176,23,12.759,3.1319999999999997,19.71,12.759,13.802999999999999,3.088,18.28,3.1319999999999997,19.71,0,0,0,0.0,0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.01,8.210461303903914
48,130556,93,11,12.868,3.023,19.02,12.868,13.94,2.951,17.47,3.023,19.02,0,0,0,0.0,0,0,3.95,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.02,8.193911720308208
49,130632,189,21,13.545,2.346,14.76,13.545,14.581,2.31,13.68,2.346,14.76,0,0,0,1.5,0,0,3.97,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,7.904364470554377
50,130626,119,14,13.061,2.83,17.81,13.061,14.133,2.758,16.33,2.83,17.81,0,0,0,0.0,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,7.87138693809734
51,130934,175,22,13.513,2.378,14.97,13.513,14.558,2.333,13.81,2.378,14.97,0,0,0,0.0,0,0,3.82,0.0,0.0,0.0,0.0,0.0,0.16,0.18,0.02,7.8700133382143065
52,130905,168,22,13.023,2.8680000000000003,18.05,13.023,14.044,2.847,16.85,2.8680000000000003,18.05,0,0,0,0.0,0,0,3.96,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,7.840134417526183
53,130812,70,7,12.873,3.0180000000000002,18.99,12.873,15.735,3.031,16.15,3.0180000000000002,18.99,0,0,0,0.0,0,0,3.97,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,7.815339786671519
